state,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
ND,0.644,0.5659,0.6091,0.4254,0.2386,0.5641,0.3195,0.1401,0.3917,0.3741,0.4022,0.2249,0.7329,0.667,0.3544,0.7069,0.7375,0.7043,0.4634,0.317,0.2148,0.6107,0.659,0.7075,0.7096,0.43120000000000003,0.7145,0.619,1,0.6603,0.5893,0.2347,0.2398,0.2812,0.2288,0.6824,0.6149,0.5948,0.6316,0.3873,0.5565,0.7042,0.6224,0.2573,0.5762,0.5222,0.4805,0.5297,0.6917,0.6629,0.7031
NE,0.5656,0.4892,0.5146,0.4707,0.2173,0.5853,0.3729,0.1339,0.4175,0.4321,0.3576,0.2004,0.7046,0.671,0.4178,0.6729,0.6736,0.632,0.4121,0.3818,0.2048,0.605,0.6642,0.7008,0.6715,0.358,0.6704,0.5507,0.6603,1,0.5957,0.2562,0.224,0.3453,0.233,0.6827,0.5315,0.6093,0.6572,0.4418,0.4899,0.6365,0.54,0.2496,0.5869,0.5309,0.4644,0.5633,0.6918,0.6029,0.6331
NH,0.4782,0.4474,0.452,0.4923,0.2722,0.625,0.6301,0.1492,0.5878,0.5918,0.2954,0.2268,0.7315,0.5535,0.5404,0.6034,0.6021,0.5798,0.3419,0.5998,0.2742,0.8082,0.7454,0.7752,0.646,0.3049,0.7371,0.5505,0.5893,0.5957,1,0.4475,0.255,0.3765,0.3718,0.7215,0.4184,0.6837,0.7827,0.5984,0.4859,0.6066,0.4771,0.2678,0.469,0.6701,0.7172,0.6639,0.793,0.5978,0.582
NJ,0.2237,0.2405,0.2168,0.5452,0.504,0.4547,0.6218,0.2534,0.4303,0.5749,0.2746,0.3895,0.2887,0.2263,0.5936,0.257,0.2547,0.2416,0.2342,0.6429,0.4921,0.3969,0.4044,0.3839,0.2613,0.2511,0.2791,0.2598,0.2347,0.2562,0.4475,1,0.3979,0.5678,0.7408,0.3655,0.2178,0.3881,0.481,0.5477,0.2429,0.2364,0.2221,0.2853,0.3272,0.4046,0.377,0.5013,0.3996,0.2386,0.23
NM,0.3684,0.2422,0.2206,0.5809,0.6215,0.2707,0.2923,0.1282,0.22,0.4173,0.2693,0.6508,0.2767,0.2197,0.2406,0.2534,0.2542,0.2457,0.2255,0.2478,0.211,0.2685,0.2703,0.2702,0.2565,0.2354,0.2699,0.2605,0.2398,0.224,0.255,0.3979,1,0.5599,0.3305,0.2685,0.2131,0.27,0.2674,0.2876,0.2514,0.2337,0.2276,0.5692,0.2224,0.2475,0.2383,0.3282,0.2714,0.2364,0.2306
NV,0.3821,0.2567,0.2382,0.7977,0.6119,0.4242,0.4536,0.1494,0.3877,0.6441,0.2698,0.4399,0.3808,0.3537,0.5669,0.3664,0.2985,0.3051,0.2562,0.4415,0.2437,0.3817,0.4669,0.3972,0.3336,0.2528,0.3267,0.2877,0.2812,0.3453,0.3765,0.5678,0.5599,1,0.587,0.4478,0.2967,0.4371,0.5014,0.5107,0.2715,0.2879,0.2492,0.6049,0.4466,0.2702,0.2826,0.5309,0.4556,0.3101,0.2805
NY,0.2249,0.2325,0.213,0.5315,0.5215,0.4173,0.5402,0.3034,0.4102,0.5271,0.2676,0.33,0.2743,0.2223,0.6089,0.2501,0.2502,0.2373,0.2184,0.5826,0.5187,0.3218,0.3848,0.3516,0.2513,0.252,0.2638,0.2532,0.2288,0.233,0.3718,0.7408,0.3305,0.587,1,0.3497,0.2223,0.3469,0.4489,0.5204,0.2357,0.229,0.2158,0.3273,0.3652,0.3701,0.295,0.4666,0.3653,0.2314,0.2235
OH,0.5353,0.6404,0.6287,0.5304,0.2761,0.6068,0.4993,0.15310000000000001,0.6361,0.6388,0.5475,0.2306,0.8258,0.6639,0.5679,0.7893,0.7307,0.7495,0.5794,0.4733,0.2643,0.7517,0.8688,0.8184,0.8081,0.5222,0.7704,0.7528,0.6824,0.6827,0.7215,0.3655,0.2685,0.4478,0.3497,1,0.5766,0.7091,0.8478,0.5483,0.6944,0.6866,0.6653,0.2915,0.562,0.7124,0.5818,0.6451,0.8476,0.7206,0.6678
OK,0.6365,0.639,0.672,0.414,0.2341,0.4794,0.1889,0.1336,0.2617,0.3874,0.4641,0.1934,0.6129,0.5851,0.222,0.6655,0.7108,0.6969,0.4837,0.1846,0.2099,0.4548,0.5407,0.5578,0.6486,0.5295,0.6198,0.6391,0.6149,0.5315,0.4184,0.2178,0.2131,0.2967,0.2223,0.5766,1,0.527,0.5135,0.2099,0.59,0.6279,0.6637,0.3621,0.4274,0.4007,0.2772,0.3809,0.5474,0.6495,0.6411
OR,0.5713,0.443,0.4963,0.5649,0.243,0.6807,0.4905,0.1456,0.4574,0.57,0.2827,0.1938,0.7251,0.5994,0.5242,0.66,0.67490000000000006,0.6261,0.3138,0.4909,0.2121,0.6763,0.7082,0.7569,0.6611,0.3059,0.7017,0.5463,0.5948,0.6093,0.6837,0.3881,0.27,0.4371,0.3469,0.7091,0.527,1,0.7369,0.5349,0.4583,0.6186,0.5215,0.2588,0.516,0.5711,0.5455,0.685,0.7493,0.6091,0.5856
