,PARID,PROPERTYZIP,SALEDATE,SALEPRICE,STORIES,YEARBLT,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,FINISHEDLIVINGAREA,LOGPRICE,AREA100
300553,0195E00003000000,15017,5/8/00,70000.0,1.0,1945.0,5.0,3.0,1.0,1.0,1184.0,11.156250521031495,11.84
30260,0083S00382000000,15206,10/20/06,52000.0,2.0,1919.0,7.0,3.0,1.0,1.0,1776.0,10.858998997563564,17.76
97143,0116E00153000000,15214,11/8/17,96000.0,2.0,1930.0,6.0,3.0,1.0,0.0,1080.0,11.472103470449973,10.8
173420,0373E00137000000,15221,11/21/17,82000.0,2.0,1954.0,6.0,3.0,1.0,0.0,1144.0,11.314474526246391,11.44
251687,0391G00249000000,15236,5/14/87,56900.0,1.0,1955.0,7.0,4.0,2.0,0.0,1760.0,10.949050620114422,17.6
343589,0504L00109000B00,15108,8/2/96,122150.0,1.0,1996.0,6.0,2.0,2.0,0.0,1614.0,11.713005076685887,16.14
357935,0251J00153000000,15228,11/8/13,350000.0,2.0,1978.0,8.0,4.0,2.0,1.0,2280.0,12.765688433465597,22.8
379711,0646E00251000000,15137,8/11/89,82000.0,2.0,1978.0,6.0,3.0,1.0,1.0,1260.0,11.314474526246391,12.6
12035,0049J00028000000,15201,9/30/08,15000.0,2.0,1890.0,5.0,2.0,1.0,0.0,1156.0,9.615805480084347,11.56
315896,1909R00261000000,15063,4/15/92,30000.0,1.0,1910.0,7.0,3.0,1.0,0.0,1456.0,10.308952660644293,14.56
115590,0095P00210000000,15210,11/14/14,47000.0,2.0,1917.0,5.0,2.0,1.0,1.0,1410.0,10.757902880692196,14.1
344711,0596D00002000000,15108,4/2/15,127000.0,2.0,1987.0,5.0,2.0,1.0,1.0,1302.0,11.751942365440728,13.02
270438,0883K00158000000,15025,10/10/06,92700.0,2.0,1901.0,6.0,3.0,1.0,0.0,1248.0,11.437123751553946,12.48
207950,0178A00125000000,15218,6/28/17,144000.0,2.0,1920.0,8.0,5.0,1.0,0.0,1835.0,11.877568578558138,18.35
309238,1132P00374000000,15037,10/9/15,140000.0,1.0,1975.0,7.0,3.0,2.0,0.0,1326.0,11.84939770159144,13.26
397941,0537J00356000000,15235,4/6/84,74000.0,2.0,1972.0,7.0,3.0,2.0,1.0,1866.0,11.211820372186306,18.66
309277,1266L00298000000,15018,4/9/92,16000.0,2.0,1916.0,7.0,3.0,1.0,0.0,1728.0,9.680344001221918,17.28
362015,0714J00104000000,15237,11/20/98,85000.0,1.0,1950.0,5.0,3.0,1.0,0.0,1090.0,11.350406535472453,10.9
132568,0464A00288000000,15132,12/23/11,32000.0,2.0,1920.0,4.0,2.0,1.0,0.0,1164.0,10.373491181781864,11.64
92147,0023F00385000000,15212,8/8/07,159900.0,2.0,1910.0,5.0,2.0,1.0,0.0,1760.0,11.982303898822046,17.6
