,city,avg_temp,state_id,county_fips,lat,lng,population,timezone,median_income
613,Paterson,9.523295607566528,NJ,34031,40.9147,-74.1624,157660,America/New_York,32915
614,Pembroke Pines,23.068924442896936,FL,12011,26.0128,-80.3382,170557,America/New_York,61279
618,Philadelphia,11.855868547611411,PA,42101,40.0077,-75.1339,5696588,America/New_York,38253
623,Pittsburgh,9.605075665277331,PA,42003,40.4397,-79.9763,1712828,America/New_York,40715
630,Portland,9.762706232813931,ME,23005,43.6773,-70.2715,213660,America/New_York,46280
637,Providence,7.341440525809555,RI,44007,41.823,-71.4187,1270529,America/New_York,37501
643,Raleigh,14.41886117345303,NC,37183,35.8324,-78.6429,1150010,America/New_York,55398
649,Richmond,13.971595172684458,VA,51760,37.5295,-77.4756,1081248,America/New_York,40758
652,Richmond,13.971595172684458,KY,21151,37.7307,-84.2925,35498,America/New_York,30621
660,Riverside,17.055758725341427,OH,39113,39.7835,-84.1219,24432,America/New_York,42930
667,Rochester,7.7269057624960205,NY,36055,43.168,-77.6162,694707,America/New_York,30960
669,Rochester,7.7269057624960205,NH,33017,43.299,-70.9787,32866,America/New_York,46979
687,Salem,9.777756186984416,MA,25009,42.5129,-70.9021,44241,America/New_York,60690
688,Salem,9.777756186984416,VA,51775,37.2864,-80.0555,25477,America/New_York,50068
689,Salem,9.777756186984416,OH,39029,40.9049,-80.8492,11805,America/New_York,40006
718,Savannah,19.40643956396281,GA,13051,32.0286,-81.1821,316446,America/New_York,36466
732,Springfield,10.647931343609926,MA,25013,42.1155,-72.5395,438889,America/New_York,34728
735,Springfield,10.647931343609926,OH,39023,39.93,-83.7959,84309,America/New_York,32066
748,Stamford,9.523295607566528,CT,9190,41.1039,-73.5585,135806,America/New_York,79359
759,Syracuse,7.594909265790318,NY,36067,43.0407,-76.1437,407625,America/New_York,31881
766,Tallahassee,19.96498351115422,FL,12073,30.4551,-84.2527,261271,America/New_York,39681
767,Tampa,21.925672809569996,FL,12057,27.9945,-82.4447,2906035,America/New_York,44185
775,Toledo,9.59264219301058,OH,39095,41.6638,-83.5827,492076,America/New_York,33687
786,Virginia Beach,15.67885604360372,VA,51810,36.7335,-76.0435,1431821,America/New_York,66634
793,Warren,8.52034129258198,OH,39155,41.239,-80.8174,39057,America/New_York,29376
801,Washington,11.918474511061238,PA,42125,40.1741,-80.2465,13361,America/New_York,35204
811,Waterbury,9.99492978518756,CT,9140,41.5582,-73.0361,199965,America/New_York,40467
817,Westminster,8.777836262323188,MD,24013,39.5796,-77.0067,20257,America/New_York,55122
828,Worcester,7.341440525809555,MA,25027,42.2705,-71.8079,487014,America/New_York,45472
829,Yonkers,9.523295607566528,NY,36119,40.9466,-73.8673,209529,America/New_York,59049
