PARID,MUNICIPALITY,LOCATION,SALE DATE,RECORDED DATE
0020S00121000000,20th Ward - PITTSBURGH,0 HERNDON ST PITTSBURGH PA 15220,8/21/2015,9/3/2015
0020S00123000000,20th Ward - PITTSBURGH,148 HERNDON ST PITTSBURGH PA 15220,8/21/2015,9/3/2015
0024J00076000000,23rd Ward - PITTSBURGH,609 SUISMON ST PITTSBURGH PA 15212,3/11/2015,3/17/2015
0024J00082000000,23rd Ward - PITTSBURGH,0 SUISMON ST PITTSBURGH PA 15212,6/2/2015,6/3/2015
0024J00089000000,23rd Ward - PITTSBURGH,635 SUISMON ST PITTSBURGH PA 15212,9/18/2015,9/24/2015
0024J00250000000,23rd Ward - PITTSBURGH,814 BLOSSOM WAY PITTSBURGH PA 15212,2/27/2015,3/3/2015
0024J00250000000,23rd Ward - PITTSBURGH,814 BLOSSOM WAY PITTSBURGH PA 15212,6/25/2015,7/9/2015
0024J00250000000,23rd Ward - PITTSBURGH,814 BLOSSOM WAY PITTSBURGH PA 15212,8/28/2015,10/28/2015
0024J00251000000,23rd Ward - PITTSBURGH,815 SPRING GARDEN AVE PITTSBURGH PA 15212,2/4/2015,2/4/2015
0024J00251000A00,23rd Ward - PITTSBURGH,816 BLOSSOM WAY PITTSBURGH PA 15212,5/16/2015,6/25/2015
0024J00255000000,23rd Ward - PITTSBURGH,823 SPRING GARDEN AVE PITTSBURGH PA 15212,10/8/2015,11/16/2015
0024J00258000100,23rd Ward - PITTSBURGH,830 BLOSSOM WAY PITTSBURGH PA 15212,3/18/2015,8/31/2015
0024J00264000B00,23rd Ward - PITTSBURGH,842 BLOSSOM WAY PITTSBURGH PA 15212,3/11/2015,4/27/2015
0022P00304000000,21st Ward - PITTSBURGH,0 FULTON ST PITTSBURGH PA 15233,2/4/2015,2/4/2015
0022P00325000000,21st Ward - PITTSBURGH,1405 SHEFFIELD ST PITTSBURGH PA 15233,7/23/2015,7/27/2015
0022P00338000000,21st Ward - PITTSBURGH,1311 HAMLIN ST PITTSBURGH PA 15233,6/3/2015,6/10/2015
0022R00024000200,21st Ward - PITTSBURGH,1220 PENNSYLVANIA AVE PITTSBURGH PA 15233,4/16/2015,6/2/2015
0022R00127000000,21st Ward - PITTSBURGH,1236 SHEFFIELD ST PITTSBURGH PA 15233,1/5/2015,3/30/2015
0022R00127000000,21st Ward - PITTSBURGH,1236 SHEFFIELD ST PITTSBURGH PA 15233,5/26/2015,6/5/2015
0022R00164000000,21st Ward - PITTSBURGH,1106 SHEFFIELD ST PITTSBURGH PA 15233,4/17/2015,4/21/2015
0022R00209000000,21st Ward - PITTSBURGH,1121 SHEFFIELD ST PITTSBURGH PA 15233,10/27/2015,11/4/2015
0023J00052000000,25th Ward - PITTSBURGH,1510 MONTEREY ST PITTSBURGH PA 15212,4/2/2015,4/8/2015
0023J00112000000,25th Ward - PITTSBURGH,1409 MONTEREY ST PITTSBURGH PA 15212,12/9/2015,12/10/2015
0023J00115000000,25th Ward - PITTSBURGH,1403 MONTEREY ST PITTSBURGH PA 15212,4/2/2015,4/8/2015
0023J00140000000,25th Ward - PITTSBURGH,1405 BUENA VISTA ST PITTSBURGH PA 15212,5/15/2015,9/15/2015
0023J00160000000,25th Ward - PITTSBURGH,802 BRIGHTON RD PITTSBURGH PA 15212,10/13/2015,12/2/2015
0023J00210000000,22nd Ward - PITTSBURGH,1306 MONTEREY ST PITTSBURGH PA 15212,8/28/2015,9/3/2015
0020S00224000000,20th Ward - PITTSBURGH,4 BALFOUR ST PITTSBURGH PA 15220,12/31/2015,1/4/2016
0021D00061000000,27th Ward - PITTSBURGH,2301 PREBLE AVE PITTSBURGH PA 15212,3/18/2015,3/20/2015
0021E00013000000,20th Ward - PITTSBURGH,114 -116 EARL ST PITTSBURGH PA 15204,10/1/2015,10/7/2015
0024J00280000000,23rd Ward - PITTSBURGH,1017 CHESTNUT ST PITTSBURGH PA 15212,11/21/2015,1/8/2016
0024J00287000000,23rd Ward - PITTSBURGH,1005 CHESTNUT ST PITTSBURGH PA 15212,6/25/2015,10/2/2015
0024J00290000000,23rd Ward - PITTSBURGH,848 TRIPOLI ST PITTSBURGH PA 15212,2/2/2015,8/31/2015
0024J00300000000,23rd Ward - PITTSBURGH,828 TRIPOLI ST PITTSBURGH PA 15212,9/18/2015,10/9/2015
0024J00302000000,23rd Ward - PITTSBURGH,829 BLOSSOM WAY PITTSBURGH PA 15212,2/4/2015,2/4/2015
0024J00309000000,23rd Ward - PITTSBURGH,815 TRIPOLI ST PITTSBURGH PA 15212,4/16/2015,4/28/2015
0024J00329000000,23rd Ward - PITTSBURGH,855 TRIPOLI ST PITTSBURGH PA 15212,2/6/2015,4/27/2015
0024J00348000A00,23rd Ward - PITTSBURGH,820 LOVITT WAY PITTSBURGH PA 15212,2/6/2015,5/18/2015
0024J00388000000,23rd Ward - PITTSBURGH,0 SUISMON ST PITTSBURGH PA 15212,6/8/2015,6/15/2015
0024J00392000000,23rd Ward - PITTSBURGH,818 SUISMON ST PITTSBURGH PA 15212,6/25/2015,6/30/2015
0022R00240000000,21st Ward - PITTSBURGH,1204 HAMLIN ST PITTSBURGH PA 15233,9/22/2015,9/22/2015
0022R00267000000,21st Ward - PITTSBURGH,1206 W NORTH AVE PITTSBURGH PA 15233,9/22/2015,9/22/2015
0022S00082000000,22nd Ward - PITTSBURGH,858 BEECH AVE PITTSBURGH PA 15233,10/21/2015,10/23/2015
0022S00085000000,22nd Ward - PITTSBURGH,852 BEECH AVE PITTSBURGH PA 15233,1/15/2015,1/23/2015
0022S00138000000,22nd Ward - PITTSBURGH,946 W NORTH AVE PITTSBURGH PA 15233,4/10/2015,4/24/2015
0022S00141000000,22nd Ward - PITTSBURGH,940 W NORTH AVE PITTSBURGH PA 15233,3/25/2015,4/28/2015
0023J00225000000,22nd Ward - PITTSBURGH,422 N TAYLOR AVE PITTSBURGH PA 15212,6/1/2015,7/27/2015
0023J00286000000,22nd Ward - PITTSBURGH,1231 MONTEREY ST PITTSBURGH PA 15212,2/5/2015,2/24/2015
0023J00309000000,22nd Ward - PITTSBURGH,1224 BUENA VISTA ST PITTSBURGH PA 15212,8/17/2015,8/19/2015
0023J00310010200,22nd Ward - PITTSBURGH,1220 BUENA VISTA ST PITTSBURGH PA 15212,10/2/2015,10/21/2015
0023J00318000000,22nd Ward - PITTSBURGH,1223 BUENA VISTA ST PITTSBURGH PA 15212,6/29/2015,7/2/2015
0023J00329000000,22nd Ward - PITTSBURGH,1245 BUENA VISTA ST PITTSBURGH PA 15212,10/27/2015,11/4/2015
0023K00002000000,25th Ward - PITTSBURGH,413 JACKSONIA ST PITTSBURGH PA 15212,1/15/2015,1/20/2015
0023K00006000100,25th Ward - PITTSBURGH,405 JACKSONIA ST PITTSBURGH PA 15212,7/15/2015,7/20/2015
0023K00022000000,25th Ward - PITTSBURGH,1409 SHERMAN AVE PITTSBURGH PA 15212,2/6/2015,2/24/2015
0023K00041000000,25th Ward - PITTSBURGH,406 SAMPSONIA WAY PITTSBURGH PA 15212,5/9/2015,5/18/2015
0023K00069000000,22nd Ward - PITTSBURGH,418 N TAYLOR AVE PITTSBURGH PA 15212,1/13/2015,1/16/2015
0021J00022000000,20th Ward - PITTSBURGH,337 HAMMOND ST PITTSBURGH PA 15204,2/18/2015,2/19/2015
0021J00048000000,20th Ward - PITTSBURGH,2723 SACRAMENTO AVE PITTSBURGH PA 15204,6/26/2015,7/1/2015
0021N00056000000,20th Ward - PITTSBURGH,2655 MERWYN AVE PITTSBURGH PA 15204,4/10/2015,4/16/2015
0021N00079000000,20th Ward - PITTSBURGH,2565 MERWYN AVE PITTSBURGH PA 15204,2/25/2015,3/5/2015
0021N00261000000,20th Ward - PITTSBURGH,0 STAFFORD ST PITTSBURGH PA 15204,2/4/2015,2/4/2015
0021N00321000000,20th Ward - PITTSBURGH,0 SACRAMENTO AVE PITTSBURGH PA 15204,9/8/2015,10/7/2015
0021N00324000000,20th Ward - PITTSBURGH,2634 SACRAMENTO AVE PITTSBURGH PA 15204,9/8/2015,10/7/2015
0021N00330000000,20th Ward - PITTSBURGH,0 GLASGOW ST PITTSBURGH PA 15204,7/2/2015,7/2/2015
0021N00331000000,20th Ward - PITTSBURGH,0 GLASGOW ST PITTSBURGH PA 15204,7/2/2015,7/2/2015
0021N00332000000,20th Ward - PITTSBURGH,2643 GLASGOW ST PITTSBURGH PA 15204,7/2/2015,7/2/2015
0021P00220000000,20th Ward - PITTSBURGH,2436 GLENMAWR ST PITTSBURGH PA 15204,12/15/2015,12/28/2015
0024J00409000000,23rd Ward - PITTSBURGH,835 SUISMON ST PITTSBURGH PA 15212,2/4/2015,2/4/2015
0024J00415000000,23rd Ward - PITTSBURGH,847 SUISMON ST PITTSBURGH PA 15212,8/14/2015,1/12/2016
0024J00426000000,23rd Ward - PITTSBURGH,834 PERALTA ST PITTSBURGH PA 15212,9/22/2015,9/22/2015
0024J00427000000,23rd Ward - PITTSBURGH,836 PERALTA ST PITTSBURGH PA 15212,9/22/2015,9/22/2015
0024J00428000000,23rd Ward - PITTSBURGH,832 PERALTA ST PITTSBURGH PA 15212,8/14/2015,1/12/2016
0024J00429000000,23rd Ward - PITTSBURGH,830 PERALTA ST PITTSBURGH PA 15212,4/8/2015,4/13/2015
0024J00454000000,23rd Ward - PITTSBURGH,835 PERALTA ST PITTSBURGH PA 15212,4/27/2015,4/29/2015
0024J00454000000,23rd Ward - PITTSBURGH,835 PERALTA ST PITTSBURGH PA 15212,12/9/2015,12/21/2015
0024J00457000000,23rd Ward - PITTSBURGH,837 PERALTA ST PITTSBURGH PA 15212,2/11/2015,4/29/2015
0024J00457000000,23rd Ward - PITTSBURGH,837 PERALTA ST PITTSBURGH PA 15212,4/27/2015,4/29/2015
0024J00457000000,23rd Ward - PITTSBURGH,837 PERALTA ST PITTSBURGH PA 15212,12/9/2015,12/21/2015
0024J00459000000,23rd Ward - PITTSBURGH,841 PERALTA ST PITTSBURGH PA 15212,4/23/2015,4/28/2015
0024K00012000000,23rd Ward - PITTSBURGH,901 CHESTNUT ST PITTSBURGH PA 15212,12/1/2015,12/10/2015
0024K00013000000,23rd Ward - PITTSBURGH,858 SUISMON ST PITTSBURGH PA 15212,5/19/2015,5/20/2015
0023A00023000000,25th Ward - PITTSBURGH,695 ROLLA ST PITTSBURGH PA 15214,6/18/2015,6/19/2015
0023A00039000000,25th Ward - PITTSBURGH,5 OVERLOOK ST PITTSBURGH PA 15214,8/14/2015,1/12/2016
0023A00110000000,25th Ward - PITTSBURGH,555 NORMAN ST PITTSBURGH PA 15214,11/28/2015,12/7/2015
0023A00150000000,25th Ward - PITTSBURGH,1903 BUENA VISTA ST PITTSBURGH PA 15214,7/20/2015,8/24/2015
0023A00164000000,25th Ward - PITTSBURGH,1947 PERRYSVILLE AVE PITTSBURGH PA 15214,9/22/2015,9/22/2015
0023A00169000000,25th Ward - PITTSBURGH,1934 BUENA VISTA ST PITTSBURGH PA 15214,9/22/2015,9/22/2015
0023A00173000000,25th Ward - PITTSBURGH,1926 BUENA VISTA ST PITTSBURGH PA 15214,9/22/2015,9/22/2015
0023A00176000000,25th Ward - PITTSBURGH,1918 BUENA VISTA ST PITTSBURGH PA 15214,9/22/2015,9/22/2015
0023B00003020200,25th Ward - PITTSBURGH,1845 CLAYTON AVE PITTSBURGH PA 15214,12/21/2015,12/23/2015
0023B00116000000,25th Ward - PITTSBURGH,1870 CLAYTON AVE PITTSBURGH PA 15214,6/15/2015,6/22/2015
0023K00073000000,22nd Ward - PITTSBURGH,1242 RESACA PL PITTSBURGH PA 15212,12/23/2015,1/7/2016
0023K00073000A00,22nd Ward - PITTSBURGH,1243 FILSON ST PITTSBURGH PA 15212,12/23/2015,1/7/2016
0023K00098000000,22nd Ward - PITTSBURGH,1201 PALO ALTO ST PITTSBURGH PA 15212,5/29/2015,6/15/2015
0023K00129000A00,22nd Ward - PITTSBURGH,311 N TAYLOR AVE PITTSBURGH PA 15212,5/14/2015,5/18/2015
0023K00135000000,22nd Ward - PITTSBURGH,1233 WOLFRUM ST PITTSBURGH PA 15212,4/27/2015,5/5/2015
0023K00135000A00,22nd Ward - PITTSBURGH,1234 PALO ALTO ST PITTSBURGH PA 15212,4/27/2015,5/5/2015
0023K00137000000,22nd Ward - PITTSBURGH,1230 PALO ALTO ST PITTSBURGH PA 15212,5/21/2015,5/27/2015
0023K00156110100,22nd Ward - PITTSBURGH,1110 PALO ALTO ST PITTSBURGH PA 15212,12/18/2015,12/22/2015
0023K00156110200,22nd Ward - PITTSBURGH,1110 PALO ALTO ST PITTSBURGH PA 15212,12/23/2015,1/7/2016
0021P00223000000,20th Ward - PITTSBURGH,0 GLENMAWR ST PITTSBURGH PA 15204,2/4/2015,2/4/2015
0022B00059000000,21st Ward - PITTSBURGH,1200 MARVISTA ST PITTSBURGH PA 15212,9/22/2015,9/22/2015
0022B00093000000,21st Ward - PITTSBURGH,1324 MARVISTA ST PITTSBURGH PA 15212,4/16/2015,5/14/2015
0022B00118000000,21st Ward - PITTSBURGH,0 MARVISTA ST PITTSBURGH PA 15212,5/26/2015,10/13/2015
0022B00174000000,21st Ward - PITTSBURGH,1300 SIGEL ST PITTSBURGH PA 15212,5/4/2015,5/21/2015
0022B00175000000,21st Ward - PITTSBURGH,1302 SIGEL ST PITTSBURGH PA 15212,5/4/2015,5/21/2015
0022B00176000000,21st Ward - PITTSBURGH,1304 SIGEL ST PITTSBURGH PA 15212,5/4/2015,5/21/2015
0022B00178000000,21st Ward - PITTSBURGH,1308 SIGEL ST PITTSBURGH PA 15212,9/24/2015,10/13/2015
0022B00181000000,21st Ward - PITTSBURGH,1314 SIGEL ST PITTSBURGH PA 15212,5/7/2015,5/21/2015
0022B00182000000,21st Ward - PITTSBURGH,1316 SIGEL ST PITTSBURGH PA 15212,5/7/2015,5/21/2015
0022B00188000000,21st Ward - PITTSBURGH,1326 SIGEL ST PITTSBURGH PA 15212,5/26/2015,10/13/2015
0022B00198000000,21st Ward - PITTSBURGH,1320 STRANMORE ST PITTSBURGH PA 15212,1/30/2015,2/9/2015
0022B00207000A00,21st Ward - PITTSBURGH,1309 SIGEL ST PITTSBURGH PA 15212,3/13/2015,3/19/2015
0022B00207000A00,21st Ward - PITTSBURGH,1309 SIGEL ST PITTSBURGH PA 15212,10/30/2015,11/3/2015
0024K00026000000,23rd Ward - PITTSBURGH,859 PERALTA ST PITTSBURGH PA 15212,8/14/2015,1/12/2016
0024K00133000000,23rd Ward - PITTSBURGH,915 PERALTA ST PITTSBURGH PA 15212,7/23/2015,8/7/2015
0024K00140000000,23rd Ward - PITTSBURGH,921 PERALTA ST PITTSBURGH PA 15212,1/20/2015,1/21/2015
0024K00193000000,23rd Ward - PITTSBURGH,902 WETTACH ST PITTSBURGH PA 15212,1/23/2015,2/24/2015
0024K00194000000,23rd Ward - PITTSBURGH,900 WETTACH ST PITTSBURGH PA 15212,4/7/2015,4/9/2015
0024K00217000A00,23rd Ward - PITTSBURGH,807 AHLERS WAY PITTSBURGH PA 15212,9/22/2015,9/22/2015
0024K00219000000,23rd Ward - PITTSBURGH,926 PERALTA ST PITTSBURGH PA 15212,8/31/2015,10/16/2015
0024K00220000000,23rd Ward - PITTSBURGH,924 PERALTA ST PITTSBURGH PA 15212,9/9/2015,9/10/2015
0024K00220000000,23rd Ward - PITTSBURGH,924 PERALTA ST PITTSBURGH PA 15212,12/18/2015,1/4/2016
0024K00244000000,23rd Ward - PITTSBURGH,900 CHESTNUT ST PITTSBURGH PA 15212,8/14/2015,1/12/2016
0024K00252000000,23rd Ward - PITTSBURGH,918 CHESTNUT ST PITTSBURGH PA 15212,10/29/2015,11/5/2015
0024K00258000000,23rd Ward - PITTSBURGH,0 CHESTNUT ST PITTSBURGH PA 15212,6/25/2015,10/2/2015
0024K00265000000,23rd Ward - PITTSBURGH,1016 CHESTNUT ST PITTSBURGH PA 15212,8/31/2015,9/9/2015
0024K00272000000,23rd Ward - PITTSBURGH,907 CONSTANCE ST PITTSBURGH PA 15212,2/4/2015,2/4/2015
0024K00274000000,23rd Ward - PITTSBURGH,911 CONSTANCE ST PITTSBURGH PA 15212,2/4/2015,2/4/2015
0024K00279000000,23rd Ward - PITTSBURGH,923 CONSTANCE ST PITTSBURGH PA 15212,7/8/2015,7/15/2015
0024K00300000000,23rd Ward - PITTSBURGH,914 CONSTANCE ST PITTSBURGH PA 15212,2/20/2015,3/16/2015
0024K00324000000,23rd Ward - PITTSBURGH,0 WETTACH ST PITTSBURGH PA 15212,7/31/2015,8/3/2015
0023B00136000000,25th Ward - PITTSBURGH,1842 CLAYTON AVE PITTSBURGH PA 15214,1/2/2015,1/5/2015
0023B00173000000,25th Ward - PITTSBURGH,1670 PERRYSVILLE AVE PITTSBURGH PA 15212,7/25/2015,8/11/2015
0023B00173000000,25th Ward - PITTSBURGH,1670 PERRYSVILLE AVE PITTSBURGH PA 15212,9/17/2015,9/17/2015
0023B00175000000,25th Ward - PITTSBURGH,1666 PERRYSVILLE AVE PITTSBURGH PA 15212,7/25/2015,8/11/2015
0023B00175000000,25th Ward - PITTSBURGH,1666 PERRYSVILLE AVE PITTSBURGH PA 15212,9/17/2015,9/17/2015
0023B00176000000,25th Ward - PITTSBURGH,1664 PERRYSVILLE AVE PITTSBURGH PA 15212,7/25/2015,8/11/2015
0023B00176000000,25th Ward - PITTSBURGH,1664 PERRYSVILLE AVE PITTSBURGH PA 15212,9/17/2015,9/17/2015
0023B00177000000,25th Ward - PITTSBURGH,0 PERRYSVILLE AVE PITTSBURGH PA 15214,7/25/2015,8/11/2015
0023B00177000000,25th Ward - PITTSBURGH,0 PERRYSVILLE AVE PITTSBURGH PA 15214,9/17/2015,9/17/2015
0023B00178000000,25th Ward - PITTSBURGH,0 PERRYSVILLE AVE PITTSBURGH PA 15212,4/30/2015,8/27/2015
0023B00178000000,25th Ward - PITTSBURGH,0 PERRYSVILLE AVE PITTSBURGH PA 15212,9/17/2015,9/17/2015
0023B00179000000,25th Ward - PITTSBURGH,1803 FEDERAL ST PITTSBURGH PA 15212,7/25/2015,8/11/2015
0023B00179000000,25th Ward - PITTSBURGH,1803 FEDERAL ST PITTSBURGH PA 15212,9/17/2015,9/17/2015
0023B00180000000,25th Ward - PITTSBURGH,1805 FEDERAL ST PITTSBURGH PA 15212,9/17/2015,9/17/2015
0023B00181000000,25th Ward - PITTSBURGH,1807 FEDERAL ST PITTSBURGH PA 15212,7/25/2015,8/11/2015
0023B00181000000,25th Ward - PITTSBURGH,1807 FEDERAL ST PITTSBURGH PA 15212,9/17/2015,9/17/2015
0023B00185000000,25th Ward - PITTSBURGH,1815 FEDERAL ST PITTSBURGH PA 15212,12/4/2015,12/14/2015
0023B00189000000,25th Ward - PITTSBURGH,1821 FEDERAL ST PITTSBURGH PA 15212,6/15/2015,8/7/2015
0023B00196000000,25th Ward - PITTSBURGH,1673 PERRYSVILLE AVE PITTSBURGH PA 15212,8/14/2015,1/12/2016
0023B00198000000,25th Ward - PITTSBURGH,1675 PERRYSVILLE AVE PITTSBURGH PA 15212,8/14/2015,1/12/2016
0023B00199000000,25th Ward - PITTSBURGH,0 PERRYSVILLE AVE PITTSBURGH PA 15212,8/14/2015,1/12/2016
0023B00218000000,25th Ward - PITTSBURGH,0 PERRYSVILLE AVE PITTSBURGH PA 15212,1/26/2015,3/5/2015
0023B00223000000,25th Ward - PITTSBURGH,1653 PERRYSVILLE AVE PITTSBURGH PA 15212,8/14/2015,1/12/2016
0023B00224000000,25th Ward - PITTSBURGH,1649 PERRYSVILLE AVE PITTSBURGH PA 15212,8/14/2015,1/12/2016
0023B00244000000,25th Ward - PITTSBURGH,6 LETSCHE ST PITTSBURGH PA 15214,8/14/2015,1/12/2016
0023B00246000000,25th Ward - PITTSBURGH,0 LETSCHE ST PITTSBURGH PA 15214,8/14/2015,1/12/2016
0023B00247000000,25th Ward - PITTSBURGH,2 BELLEAU ST PITTSBURGH PA 15212,8/14/2015,1/12/2016
0023C00010000000,25th Ward - PITTSBURGH,1903 BELLEAU ST PITTSBURGH PA 15214,8/14/2015,1/12/2016
0023K00156110300,22nd Ward - PITTSBURGH,1110 PALO ALTO ST PITTSBURGH PA 15212,12/23/2015,1/7/2016
0023K00174000000,22nd Ward - PITTSBURGH,1201 -1215 SHERMAN AVE PITTSBURGH PA 15212,1/27/2015,2/2/2015
0023K00180000000,22nd Ward - PITTSBURGH,1232 WOLFRUM ST PITTSBURGH PA 15212,7/13/2015,8/10/2015
0023K00190000000,25th Ward - PITTSBURGH,1410 SHERMAN AVE PITTSBURGH PA 15212,5/22/2015,5/27/2015
0023K00228000000,22nd Ward - PITTSBURGH,0 SHERMAN AVE PITTSBURGH PA 15212,5/6/2015,5/15/2015
0023K00229000000,22nd Ward - PITTSBURGH,1225 VETO ST PITTSBURGH PA 15212,4/28/2015,5/1/2015
0023K00231000000,22nd Ward - PITTSBURGH,1222 SHERMAN AVE PITTSBURGH PA 15212,5/6/2015,5/15/2015
0023K00232000000,22nd Ward - PITTSBURGH,1220 SHERMAN AVE PITTSBURGH PA 15212,2/11/2015,2/19/2015
0023K00241000C00,22nd Ward - PITTSBURGH,1208 SHERMAN AVE PITTSBURGH PA 15212,4/14/2015,4/23/2015
0023K00247000000,22nd Ward - PITTSBURGH,0 VETO ST PITTSBURGH PA 15212,5/27/2015,6/19/2015
0023K00248000000,22nd Ward - PITTSBURGH,1200 SHERMAN AVE PITTSBURGH PA 15212,5/27/2015,6/19/2015
0023K00262000000,22nd Ward - PITTSBURGH,216 W NORTH AVE PITTSBURGH PA 15212,3/13/2015,3/20/2015
0023K00267000000,22nd Ward - PITTSBURGH,206 W NORTH AVE PITTSBURGH PA 15212,6/25/2015,7/14/2015
0022B00256000000,21st Ward - PITTSBURGH,1239 STRANMORE ST PITTSBURGH PA 15212,2/12/2015,3/13/2015
0022B00281000000,21st Ward - PITTSBURGH,1236 CALIFORNIA AVE PITTSBURGH PA 15212,10/30/2015,10/30/2015
0022B00283000000,21st Ward - PITTSBURGH,1232 KUNKLE WAY PITTSBURGH PA 15212,10/30/2015,10/30/2015
0022C00050000000,21st Ward - PITTSBURGH,1112 SUNDAY ST PITTSBURGH PA 15212,5/26/2015,6/18/2015
0022C00051000000,21st Ward - PITTSBURGH,1110 SUNDAY ST PITTSBURGH PA 15212,5/26/2015,6/18/2015
0022C00051000000,21st Ward - PITTSBURGH,1110 SUNDAY ST PITTSBURGH PA 15212,6/5/2015,6/18/2015
0022C00082000000,21st Ward - PITTSBURGH,1936 SEDGWICK ST PITTSBURGH PA 15212,1/5/2015,2/23/2015
0022C00083000000,21st Ward - PITTSBURGH,1934 SEDGWICK ST PITTSBURGH PA 15212,10/30/2015,10/30/2015
0022C00120000000,25th Ward - PITTSBURGH,966 MORRISON AVE PITTSBURGH PA 15212,8/14/2015,1/12/2016
0022C00135000000,25th Ward - PITTSBURGH,936 MORRISON AVE PITTSBURGH PA 15212,8/14/2015,1/12/2016
0022C00138000000,25th Ward - PITTSBURGH,934 MORRISON AVE PITTSBURGH PA 15212,2/4/2015,2/4/2015
0022C00190000000,25th Ward - PITTSBURGH,1911 B ST PITTSBURGH PA 15212,4/2/2015,4/7/2015
0022D00014000000,25th Ward - PITTSBURGH,1 BRIGHTON RD PITTSBURGH PA 15212,10/30/2015,10/30/2015
0022D00075000000,25th Ward - PITTSBURGH,913 MORRISON AVE PITTSBURGH PA 15212,8/14/2015,1/12/2016
0022D00150000000,25th Ward - PITTSBURGH,1822 BRIGHTON RD PITTSBURGH PA 15212,8/14/2015,1/12/2016
0022D00152000000,25th Ward - PITTSBURGH,1815 N CHARLES ST PITTSBURGH PA 15212,8/14/2015,1/12/2016
0022D00157000000,25th Ward - PITTSBURGH,1824 BRIGHTON RD PITTSBURGH PA 15212,8/14/2015,1/12/2016
0024K00325000000,23rd Ward - PITTSBURGH,912 RICKENBACH ST PITTSBURGH PA 15212,7/31/2015,8/3/2015
0024K00326000000,23rd Ward - PITTSBURGH,3 RICKENBACH ST PITTSBURGH PA 15212,7/31/2015,8/3/2015
0024K00339000000,23rd Ward - PITTSBURGH,915 WETTACH ST PITTSBURGH PA 15212,5/23/2015,6/3/2015
0024K00357000000,24th Ward - PITTSBURGH,924 VINIAL ST PITTSBURGH PA 15212,4/2/2015,3/31/2015
0024L00041000000,23rd Ward - PITTSBURGH,1115 TROY HILL RD PITTSBURGH PA 15212,8/3/2015,9/14/2015
0024L00042000000,23rd Ward - PITTSBURGH,0 TROY HILL RD PITTSBURGH PA 15212,8/3/2015,9/14/2015
0024N00004000000,23rd Ward - PITTSBURGH,812 MIDDLE ST PITTSBURGH PA 15212,2/27/2015,3/3/2015
0024N00005000000,23rd Ward - PITTSBURGH,600 FORELAND ST PITTSBURGH PA 15212,2/27/2015,3/3/2015
0024N00005000000,23rd Ward - PITTSBURGH,600 FORELAND ST PITTSBURGH PA 15212,6/3/2015,6/11/2015
0024N00005000100,23rd Ward - PITTSBURGH,0 FORELAND ST PITTSBURGH PA 15212,2/27/2015,3/3/2015
0024N00005000100,23rd Ward - PITTSBURGH,0 FORELAND ST PITTSBURGH PA 15212,6/3/2015,6/11/2015
0024N00005000200,23rd Ward - PITTSBURGH,0 FORELAND ST PITTSBURGH PA 15212,2/27/2015,3/3/2015
0024N00005000200,23rd Ward - PITTSBURGH,0 FORELAND ST PITTSBURGH PA 15212,6/3/2015,6/11/2015
0024N00006000000,23rd Ward - PITTSBURGH,806 MIDDLE ST PITTSBURGH PA 15212,2/27/2015,3/3/2015
0024N00010000000,23rd Ward - PITTSBURGH,614 FORELAND ST PITTSBURGH PA 15212,1/21/2015,1/26/2015
0024N00012000000,23rd Ward - PITTSBURGH,616 FORELAND ST PITTSBURGH PA 15212,1/21/2015,1/26/2015
0024N00013000000,23rd Ward - PITTSBURGH,618 -620 FORELAND ST PITTSBURGH PA 15212,1/15/2015,1/20/2015
0024N00042000000,23rd Ward - PITTSBURGH,818 PHINEAS ST PITTSBURGH PA 15212,6/30/2015,9/24/2015
0024N00044000000,23rd Ward - PITTSBURGH,843 PHINEAS ST PITTSBURGH PA 15212,12/11/2015,12/22/2015
0024N00045000000,23rd Ward - PITTSBURGH,841 PHINEAS ST PITTSBURGH PA 15212,12/28/2015,1/8/2016
0024N00046000000,23rd Ward - PITTSBURGH,839 PHINEAS ST PITTSBURGH PA 15212,12/11/2015,12/22/2015
0024N00048000000,23rd Ward - PITTSBURGH,835 PHINEAS ST PITTSBURGH PA 15212,12/11/2015,12/22/2015
0024N00049000000,23rd Ward - PITTSBURGH,833 PHINEAS ST PITTSBURGH PA 15212,12/11/2015,12/22/2015
0023C00085000000,25th Ward - PITTSBURGH,1715 MEADVILLE ST PITTSBURGH PA 15214,12/2/2015,12/7/2015
0023D00036000000,25th Ward - PITTSBURGH,421 CATOMA ST PITTSBURGH PA 15212,3/19/2015,3/24/2015
0023D00054000000,25th Ward - PITTSBURGH,418 CATOMA ST PITTSBURGH PA 15212,4/13/2015,4/22/2015
0023D00056000000,25th Ward - PITTSBURGH,416 CATOMA ST PITTSBURGH PA 15212,4/13/2015,4/22/2015
0023D00135000000,25th Ward - PITTSBURGH,1516 WARREN ST PITTSBURGH PA 15212,9/2/2015,9/8/2015
0023D00176000000,25th Ward - PITTSBURGH,21 CARRIE ST PITTSBURGH PA 15212,6/30/2015,7/1/2015
0023D00176000000,25th Ward - PITTSBURGH,21 CARRIE ST PITTSBURGH PA 15212,7/24/2015,9/18/2015
0023K00306000000,22nd Ward - PITTSBURGH,1325 ARCH ST PITTSBURGH PA 15212,9/30/2015,10/2/2015
0023K00307000000,22nd Ward - PITTSBURGH,1327 ARCH ST PITTSBURGH PA 15212,12/8/2015,12/17/2015
