,Unnamed: 0,date,price
604,604,2023-12,1.542652381
605,605,2024-01,1.847034783
606,606,2024-02,1.922809524
607,607,2024-03,1.900404762
608,608,2024-04,0.863690909
609,609,2024-05,2.116108696
610,610,2024-06,2.277275
611,611,2024-07,2.371608696
612,612,2024-08,2.436863636
613,613,2024-09,2.52665625
614,614,2024-10,
