year_month,price
1998-06,1.185145455
1998-07,1.1205
1998-08,1.216866667
1998-09,1.068404762
1998-10,1.061568182
1998-11,1.156178947
1998-12,1.152681818
1999-01,1.124736842
1999-02,1.042442105
1999-03,1.051173913
1999-04,1.009052381
1999-05,1.12035
1999-06,1.076268182
1999-07,0.953238095
1999-08,0.915709091
1999-09,0.863309524
1999-10,0.946309524
1999-11,1.142115
1999-12,1.275119048
2000-01,1.15185
2000-02,1.06536
2000-03,1.049304348
2000-04,0.968236842
2000-05,0.987113636
2000-06,0.894477273
2000-07,0.929921053
2000-08,0.799708696
2000-09,0.81065
2000-10,0.804795455
2000-11,0.718065
2000-12,0.677775
2001-01,0.660119048
2001-02,0.630573684
2001-03,0.629818182
2001-04,0.587915
2001-05,0.648159091
2001-06,0.577109524
2001-07,0.541857143
2001-08,0.507804348
2001-09,0.5018
2001-10,0.447456522
2001-11,0.460275
2001-12,0.468411765
2002-01,0.478071429
2002-02,0.453042105
2002-03,0.530375
2002-04,0.544427273
2002-05,0.507568182
2002-06,0.48363
2002-07,0.496833333
2002-08,0.4828
2002-09,0.580825
2002-10,0.621869565
2002-11,0.663363158
2002-12,0.640925
2003-01,0.648714286
2003-02,0.628133333
2003-03,0.594333333
2003-04,0.620938095
2003-05,0.657738095
2003-06,0.59057619
2003-07,0.619931818
2003-08,0.617214286
2003-09,0.656738095
2003-10,0.622826087
2003-11,0.592194444
2003-12,0.642214286
2004-01,0.724894737
2004-02,0.731415789
2004-03,0.750826087
2004-04,0.704280952
2004-05,0.736875
2004-06,0.780614286
2004-07,0.706666667
2004-08,0.680959091
2004-09,0.781380952
2004-10,0.758595238
2004-11,0.84559
2004-12,1.007166667
2005-01,1.01525
2005-02,1.140847368
2005-03,1.291295455
2005-04,1.210861905
2005-05,1.211166667
2005-06,1.126277273
2005-07,1.031075
2005-08,0.999330435
2005-09,0.935714286
2005-10,0.997238095
2005-11,1.00649
2005-12,0.999714286
2006-01,1.193275
2006-02,1.121068421
2006-03,1.076543478
2006-04,1.084315789
2006-05,1.040318182
2006-06,0.966804545
2006-07,0.9862
2006-08,1.0512
2006-09,1.05495
2006-10,1.045522727
2006-11,1.15965
2006-12,1.26495
2007-01,1.1925
2007-02,1.162468421
2007-03,1.11975
