county_fips,dem_share_2000,dem_share_2004,dem_share_2008,dem_share_2012,dem_share_2016,dem_share_2020,dem_share_2024,total_votes_2000,total_votes_2004,total_votes_2008,total_votes_2012,total_votes_2016,total_votes_2020,total_votes_2024
10001,0.48622815813616094,0.43051397655545537,0.5495703650009816,0.5250657680825278,0.47412641096357794,0.5207045265950608,0.5101753576372866,48247.0,55977.0,66925.0,68696.0,74598.0,87025.0,88141.0
10003,0.618742904825204,0.6109780514209521,0.7055443293761051,0.672871226521473,0.655757434270902,0.6881982229938108,0.665395039179874,212995.0,241444.0,256417.0,252012.0,262391.0,287633.0,275917.0
10005,0.46207989558569895,0.39037107171113217,0.45670799428817516,0.4340673659521793,0.3858294750058856,0.44313277878541496,0.44450538526405275,66287.0,77749.0,89070.0,93229.0,106008.0,129352.0,147639.0
1001,0.2918216710953646,0.23844843139220206,0.25932073544433093,0.2680060652009098,0.2462253193960511,0.274423027687356,0.2664112022347169,17208.0,20081.0,23641.0,23932.0,24973.0,27770.0,28281.0
1003,0.25509850735387923,0.2274901560449176,0.24035111645610424,0.21819043107531974,0.2020779277651876,0.22731728972826992,0.20652353974091375,56480.0,69320.0,81413.0,85338.0,95215.0,109679.0,122249.0
1005,0.5044729677168417,0.45028422327835244,0.49269220790452306,0.5157913104170302,0.47176755447941887,0.461391071086415,0.4258500614502253,10395.0,10777.0,11630.0,11509.0,10469.0,10518.0,9855.0
1007,0.38808535013604467,0.27628620552836924,0.26854339446326364,0.26421886249100074,0.21760334417092428,0.208810850594049,0.17615058209117615,7101.0,7600.0,8644.0,8420.0,8819.0,9595.0,9257.0
1009,0.28207889367490363,0.18467454511348716,0.14729622349546234,0.12517385257301808,0.08618828702778333,0.09652297905012613,0.09223057644110276,17973.0,21504.0,24267.0,24006.0,25588.0,27588.0,28163.0
1011,0.7031897265948633,0.6823979591836735,0.7425027767493521,0.7644954819277109,0.7558886509635975,0.7504355400696864,0.730411361410382,4904.0,4717.0,5415.0,5322.0,4710.0,4613.0,4111.0
1013,0.46631320315530844,0.4066968541468065,0.4329577173575933,0.46231899376387275,0.43189984931030484,0.420778945134246,0.38596699513237565,7803.0,8416.0,9709.0,9496.0,8732.0,9488.0,8480.0
1015,0.41434085120907393,0.3359467224981625,0.3355244238116758,0.33874948131647337,0.28720150953217516,0.30240276646063957,0.27426932191410636,38909.0,45249.0,49242.0,46257.0,47864.0,50983.0,48653.0
1017,0.4819359821505192,0.4122908474053512,0.4573523476389076,0.4739601296820032,0.42445145666691125,0.4210212991136394,0.38289883819778975,11834.0,13032.0,14956.0,14611.0,13900.0,15284.0,14245.0
1019,0.4570644360214351,0.33917215218118935,0.24010828821324448,0.22120771944386802,0.14733333333333334,0.1330384205783567,0.12028502827046704,7823.0,9049.0,9745.0,9779.0,10733.0,12301.0,13006.0
1021,0.3231576116191501,0.22749443005961342,0.20834751049109673,0.19602977667493796,0.16179413072476656,0.16040296481887462,0.13752676113773066,15092.0,16693.0,17785.0,17462.0,18369.0,19310.0,19763.0
1023,0.5073217462706994,0.45875,0.46265428171523093,0.47694633408919124,0.4309078309078309,0.42125825138084333,0.38002417648836506,7374.0,7227.0,7894.0,7968.0,7292.0,7464.0,6656.0
1025,0.43864254242054934,0.4074139297349652,0.4420029895366218,0.4588525065198493,0.4460392582822562,0.44001835002676043,0.4143121426168853,10752.0,11394.0,13435.0,13851.0,13031.0,13135.0,11958.0
