,country,Code,year,life_expectancy
252,Upper-middle-income countries,,2023,75.8812
253,Uruguay,URY,2023,78.1385
254,Uzbekistan,UZB,2023,72.3884
255,Vanuatu,VUT,2023,71.4769
256,Vatican,VAT,2023,82.9848
257,Venezuela,VEN,2023,72.5142
258,Vietnam,VNM,2023,74.5883
259,Wallis and Futuna,WLF,2023,78.6286
260,Western Sahara,ESH,2023,71.385
261,World,OWID_WRL,2023,73.1694
262,Yemen,YEM,2023,69.2952
263,Zambia,ZMB,2023,66.3487
264,Zimbabwe,ZWE,2023,62.7748
