Team,Team Name,Year,Average Age,Total Payroll Allocations,Active 26-Man,Injured,Retained,Buried,Wins,Losses,Postseason
SD,San Diego Padres,2017,26.5,"$76,921,678","$23,930,424","$5,182,750","$42,793,983","$5,014,521",71,91,No Playoffs
ARI,Arizona Diamondbacks,2017,28.3,"$102,619,475","$81,644,775","$19,379,200","$1,572,116","$23,384",93,69,Wildcard
CHW,Chicago White Sox,2017,26.3,"$85,495,238","$32,540,383","$7,571,000","$44,858,846","$525,009",67,95,No Playoffs
CLE,Cleveland Guardians,2017,27.9,"$132,258,928","$116,072,319","$6,129,713","$10,007,205","$49,691",102,60,Division Winner
PIT,Pittsburgh Pirates,2017,27.7,"$100,503,030","$66,496,313","$16,750,000","$14,381,028","$125,689",75,87,No Playoffs
HOU,Houston Astros,2017,28.1,"$138,344,211","$128,445,916","$835,843","$3,284,838","$2,052,614",101,61,Division Winner
CIN,Cincinnati Reds,2017,25.7,"$96,436,003","$64,567,947","$16,021,450","$15,403,006","$443,600",68,94,No Playoffs
MIN,Minnesota Twins,2017,27.8,"$120,842,831","$75,616,449","$22,830,000","$19,497,309","$2,899,073",85,77,Wildcard
MIA,Miami Marlins,2017,28.9,"$110,765,599","$72,360,311","$21,441,206","$13,782,819","$3,181,263",77,85,No Playoffs
ATL,Atlanta Braves,2017,27.5,"$105,268,575","$81,963,434","$1,997,766","$21,037,983","$269,392",72,90,No Playoffs
PHI,Philadelphia Phillies,2017,25.7,"$104,020,808","$28,213,540","$16,578,578","$58,889,622","$339,068",66,96,No Playoffs
COL,Colorado Rockies,2017,27.3,"$139,499,341","$108,379,084",-,"$30,443,391","$676,866",87,75,Wildcard
STL,St. Louis Cardinals,2017,27.1,"$145,256,085","$104,261,954","$6,935,000","$29,772,125","$587,006",83,79,No Playoffs
TEX,Texas Rangers,2017,28.1,"$141,966,320","$106,415,185","$1,074,360","$33,856,996","$619,779",78,84,No Playoffs
KC,Kansas City Royals,2017,28.3,"$148,227,822","$120,678,691","$1,046,749","$19,965,515","$1,536,867",80,82,No Playoffs
CHC,Chicago Cubs,2017,28.4,"$172,092,536","$161,127,834",-,"$10,748,400","$216,302",92,70,Division Winner
WSH,Washington Nationals,2017,29.1,"$182,238,854","$164,539,852","$11,351,707","$5,952,690","$394,605",97,65,Division Winner
NYM,New York Mets,2017,26.6,"$143,315,158","$48,736,470","$44,924,726","$49,595,502","$58,460",70,92,No Playoffs
SEA,Seattle Mariners,2017,28.4,"$160,741,810","$120,728,483","$29,449,738","$9,229,977","$1,333,612",78,84,No Playoffs
LAA,Los Angeles Angels,2017,28.9,"$166,161,209","$114,610,825","$16,095,730","$34,823,286","$631,368",80,82,No Playoffs
BOS,Boston Red Sox,2017,28.1,"$209,872,508","$172,158,546","$5,941,108","$30,597,474","$1,175,380",93,69,Division Winner
NYY,New York Yankees,2017,27.4,"$209,044,502","$161,826,896","$7,867,680","$36,170,687","$179,239",91,71,Wildcard
TOR,Toronto Blue Jays,2017,28.9,"$175,617,487","$127,315,534","$22,811,106","$21,914,802","$3,576,045",76,86,No Playoffs
BAL,Baltimore Orioles,2017,27.9,"$174,129,785","$163,560,704",-,"$7,267,168","$3,301,913",75,87,No Playoffs
LAD,Los Angeles Dodgers,2017,28.4,"$259,311,393","$182,501,228","$22,654,516","$41,492,656","$10,735,130",104,58,Division Winner
DET,Detroit Tigers,2017,27.1,"$188,028,874","$91,135,320","$18,000,000","$77,874,916","$1,018,638",64,98,No Playoffs
SF,San Francisco Giants,2017,28.1,"$188,406,809","$171,792,784","$7,219,058","$6,354,972","$3,039,995",64,98,No Playoffs
MIL,Milwaukee Brewers,2016,27.1,"$62,161,191","$49,464,613","$2,517,700","$8,299,097","$1,879,781",73,89,No Playoffs
TB,Tampa Bay Rays,2016,27.4,"$62,408,549","$36,226,000","$5,226,100","$20,177,348","$779,101",68,94,No Playoffs
MIA,Miami Marlins,2016,28,"$76,365,306","$60,842,038","$3,300,000","$10,032,559","$2,190,709",79,82,No Playoffs
CLE,Cleveland Guardians,2016,28.1,"$104,971,268","$61,284,062","$11,875,000","$30,765,065","$47,141",94,67,Division Winner
HOU,Houston Astros,2016,26.8,"$99,828,742","$75,441,606","$6,968,124","$15,955,584","$2,113,693",84,78,No Playoffs
OAK,Oakland Athletics,2016,26.7,"$83,109,288","$28,084,351","$19,754,414","$35,098,597","$171,926",69,93,No Playoffs
SD,San Diego Padres,2016,27.2,"$83,435,559","$21,508,794","$13,711,664","$48,181,815","$33,286",68,94,No Playoffs
PIT,Pittsburgh Pirates,2016,28,"$99,518,136","$57,311,465","$10,861,276","$31,267,751","$77,644",78,83,No Playoffs
CIN,Cincinnati Reds,2016,27,"$87,226,437","$63,783,665","$11,856,070","$10,862,757","$723,945",68,94,No Playoffs
ATL,Atlanta Braves,2016,26.6,"$96,019,377","$46,917,344","$8,116,832","$41,248,677","$244,024",68,93,No Playoffs
ARI,Arizona Diamondbacks,2016,26,"$97,874,482","$78,823,003","$1,051,200","$17,455,091","$545,188",69,93,No Playoffs
COL,Colorado Rockies,2016,27.4,"$106,902,280","$88,354,041","$1,289,832","$16,710,362","$548,045",75,87,No Playoffs
PHI,Philadelphia Phillies,2016,26.8,"$103,898,809","$53,797,706","$22,025,303","$21,909,132","$6,166,668",71,91,No Playoffs
WSH,Washington Nationals,2016,28.5,"$139,583,852","$119,416,458","$5,869,400","$14,207,786","$90,208",95,67,Division Winner
TEX,Texas Rangers,2016,27.5,"$143,021,690","$114,724,626","$21,458,018","$6,652,924","$186,122",95,67,Division Winner
MIN,Minnesota Twins,2016,27,"$97,244,457","$66,477,950","$24,241,532","$3,663,294","$2,861,681",59,103,No Playoffs
CHW,Chicago White Sox,2016,27,"$129,715,686","$88,724,466","$12,024,268","$28,966,952",-,78,84,No Playoffs
TOR,Toronto Blue Jays,2016,29.7,"$148,385,479","$134,332,539","$1,000,000","$12,644,767","$565,489",89,73,Wildcard
NYM,New York Mets,2016,28.1,"$147,744,060","$101,803,832","$39,822,605","$6,117,623",-,87,75,Wildcard
SEA,Seattle Mariners,2016,28.6,"$147,003,780","$132,303,221","$4,036,934","$9,931,590","$732,035",86,76,No Playoffs
BAL,Baltimore Orioles,2016,28.5,"$154,148,832","$148,307,663","$2,650,245","$2,773,173","$417,751",89,73,Wildcard
STL,St. Louis Cardinals,2016,27.9,"$149,355,870","$132,790,389","$13,596,500","$2,968,981",-,86,76,No Playoffs
KC,Kansas City Royals,2016,28.3,"$141,587,358","$106,349,212","$20,825,000","$14,210,664","$202,482",81,81,No Playoffs
CHC,Chicago Cubs,2016,28.4,"$186,772,494","$165,798,832","$2,050,500","$17,412,586","$1,510,576",103,58,Division Winner
SF,San Francisco Giants,2016,29.2,"$178,834,344","$176,684,532","$487,120","$1,082,965","$579,729",87,75,Wildcard
BOS,Boston Red Sox,2016,28.5,"$207,758,836","$165,121,274","$19,567,513","$2,194,948","$20,875,101",93,69,Division Winner
DET,Detroit Tigers,2016,28.2,"$200,179,285","$163,019,728","$28,189,200","$8,675,064","$295,293",86,75,No Playoffs
LAA,Los Angeles Angels,2016,27.7,"$174,290,373","$89,811,509","$39,667,205","$42,327,190","$2,484,469",74,88,No Playoffs
NYY,New York Yankees,2016,27.6,"$220,743,376","$159,213,515","$10,509,409","$50,238,466","$781,986",84,78,No Playoffs
LAD,Los Angeles Dodgers,2016,28.5,"$264,470,494","$193,881,011","$13,288,890","$52,652,847","$4,647,746",91,71,Division Winner
TB,Tampa Bay Rays,2015,27.1,"$73,241,552","$52,092,948","$8,440,963","$12,164,597","$543,044",80,82,No Playoffs
HOU,Houston Astros,2015,27.6,"$81,341,546","$64,818,398","$11,040,900","$3,150,680","$2,331,568",86,76,Wildcard
CLE,Cleveland Guardians,2015,27.1,"$77,404,413","$45,520,977","$680,720","$29,817,050","$1,385,666",81,80,No Playoffs
ARI,Arizona Diamondbacks,2015,26,"$76,781,801","$45,142,733","$1,026,500","$30,465,028","$147,540",79,83,No Playoffs
PIT,Pittsburgh Pirates,2015,28.8,"$99,435,606","$78,904,030","$14,318,868","$2,759,768","$452,940",98,64,Wildcard
MIA,Miami Marlins,2015,27.1,"$72,990,525","$28,171,144","$15,751,830","$19,528,890","$138,661",71,91,No Playoffs
OAK,Oakland Athletics,2015,27.9,"$80,491,339","$42,311,467","$8,772,896","$29,168,581","$238,395",68,94,No Playoffs
NYM,New York Mets,2015,28.3,"$110,398,927","$103,930,260","$5,551,249","$129,200","$476,251",90,72,Division Winner
MIN,Minnesota Twins,2015,28.1,"$106,231,818","$101,448,147","$2,070,081","$2,200,000","$513,590",83,79,No Playoffs
STL,St. Louis Cardinals,2015,28.4,"$132,178,951","$128,814,787","$3,195,000",-,"$169,164",100,62,Division Winner
KC,Kansas City Royals,2015,28.8,"$126,529,835","$111,740,891","$10,483,450","$4,047,582","$257,912",95,67,Division Winner
CHC,Chicago Cubs,2015,28.3,"$132,993,810","$106,652,384","$1,000,000","$23,656,617","$1,684,809",97,65,Wildcard
MIL,Milwaukee Brewers,2015,26.5,"$93,852,267","$58,772,714","$1,020,000","$33,510,458","$549,095",68,94,No Playoffs
BAL,Baltimore Orioles,2015,27.5,"$116,400,870","$97,083,315","$1,245,000","$17,776,584","$295,971",81,81,No Playoffs
SD,San Diego Padres,2015,27.6,"$107,915,272","$93,212,255","$11,029,819","$3,267,222","$405,976",74,88,No Playoffs
TOR,Toronto Blue Jays,2015,29.4,"$138,309,664","$106,426,104","$6,382,500","$25,214,964","$286,096",93,69,Division Winner
COL,Colorado Rockies,2015,27.1,"$101,277,051","$74,930,648","$6,103,870","$19,940,868","$301,665",68,94,No Playoffs
TEX,Texas Rangers,2015,27.6,"$135,285,607","$111,715,876","$13,135,760","$10,018,970","$415,001",88,74,Division Winner
CHW,Chicago White Sox,2015,27.4,"$116,925,487","$94,365,735","$507,500","$9,052,252",-,76,86,No Playoffs
ATL,Atlanta Braves,2015,26.7,"$110,913,266","$55,097,676","$11,263,899","$44,307,649","$244,042",67,95,No Playoffs
SEA,Seattle Mariners,2015,27.5,"$126,045,473","$95,874,782","$1,383,169","$25,921,321","$2,866,201",76,86,No Playoffs
LAA,Los Angeles Angels,2015,28,"$142,198,162","$106,512,083","$19,015,000","$16,043,722","$627,357",85,77,No Playoffs
CIN,Cincinnati Reds,2015,27.4,"$112,333,097","$68,445,559","$22,890,777","$20,832,787","$163,974",64,98,No Playoffs
WSH,Washington Nationals,2015,28,"$165,655,095","$146,009,803","$17,556,549","$2,000,000","$88,743",83,79,No Playoffs
SF,San Francisco Giants,2015,29.4,"$180,163,630","$133,109,385","$38,423,837","$7,522,089","$1,108,319",84,78,No Playoffs
DET,Detroit Tigers,2015,27.4,"$162,160,921","$109,879,336","$27,072,978","$25,208,607",-,74,87,No Playoffs
PHI,Philadelphia Phillies,2015,27.4,"$141,722,639","$52,800,331","$33,290,177","$51,719,664","$3,912,467",63,99,No Playoffs
BOS,Boston Red Sox,2015,27.2,"$183,481,478","$95,030,446","$42,985,571","$45,443,277","$22,184",78,84,No Playoffs
NYY,New York Yankees,2015,27.6,"$221,242,659","$187,465,727","$24,415,379","$8,459,561","$394,492",87,75,Wildcard
LAD,Los Angeles Dodgers,2015,28.4,"$301,735,080","$202,137,688","$20,914,084","$68,164,195","$10,519,113",92,70,Division Winner
MIA,Miami Marlins,2014,26.8,"$50,559,679","$42,496,784",-,"$7,939,616","$123,279",77,85,No Playoffs
HOU,Houston Astros,2014,26.7,"$51,679,490","$45,231,726",-,"$6,051,590","$396,174",70,92,No Playoffs
PIT,Pittsburgh Pirates,2014,27.6,"$76,802,804","$69,388,939",-,"$7,320,970","$92,895",88,74,Wildcard
CLE,Cleveland Guardians,2014,27.7,"$84,481,929","$60,720,646",-,"$23,415,930","$345,353",85,77,No Playoffs
TB,Tampa Bay Rays,2014,28,"$76,821,046","$63,704,707",-,"$13,116,339",-,77,85,No Playoffs
OAK,Oakland Athletics,2014,29.1,"$91,638,412","$65,864,461",-,"$22,605,236","$3,168,715",88,74,Wildcard
KC,Kansas City Royals,2014,28.7,"$96,603,300","$90,536,848",-,"$4,686,452","$1,380,000",89,73,Wildcard
SD,San Diego Padres,2014,27.6,"$85,001,967","$67,296,350","$501,400","$16,594,743","$609,474",77,85,No Playoffs
BAL,Baltimore Orioles,2014,28,"$113,562,943","$108,470,318",-,"$2,282,926","$2,809,699",96,66,Division Winner
NYM,New York Mets,2014,27.5,"$94,478,037","$74,021,346",-,"$19,290,982","$1,165,709",79,83,No Playoffs
CHW,Chicago White Sox,2014,26.9,"$89,297,302","$60,305,897",-,"$28,411,749","$579,656",73,89,No Playoffs
CHC,Chicago Cubs,2014,26.7,"$90,364,741","$54,429,470",-,"$34,683,034","$1,252,237",73,89,No Playoffs
MIN,Minnesota Twins,2014,27,"$87,494,478","$72,140,448",-,"$15,337,637","$16,393",70,92,No Playoffs
MIL,Milwaukee Brewers,2014,28.3,"$108,777,046","$108,174,589",-,"$520,491","$81,966",82,80,No Playoffs
SEA,Seattle Mariners,2014,27.5,"$115,534,174","$100,330,060",-,"$12,504,114","$1,700,000",87,75,No Playoffs
STL,St. Louis Cardinals,2014,27.5,"$121,340,470","$114,640,584",-,"$5,699,886","$1,000,000",90,72,Division Winner
COL,Colorado Rockies,2014,27.8,"$96,772,365","$96,456,583",-,"$202,995","$112,787",66,96,No Playoffs
ATL,Atlanta Braves,2014,27,"$116,865,707","$102,713,304",-,"$14,100,492","$51,911",79,83,No Playoffs
CIN,Cincinnati Reds,2014,27.9,"$113,351,318","$99,729,931","$5,500,000","$6,890,711","$1,744,338",76,86,No Playoffs
WSH,Washington Nationals,2014,28.3,"$143,278,577","$142,964,370",-,"$136,612","$177,595",96,66,Division Winner
ARI,Arizona Diamondbacks,2014,26.9,"$106,343,190","$67,825,588","$9,500,000","$28,134,272","$333,330",64,98,No Playoffs
LAA,Los Angeles Angels,2014,28.6,"$165,244,781","$132,293,502",-,"$32,051,279","$900,000",98,64,Division Winner
TOR,Toronto Blue Jays,2014,28,"$141,812,172","$122,125,961","$3,000,000","$5,186,211","$11,500,000",83,79,No Playoffs
SF,San Francisco Giants,2014,28.8,"$160,336,782","$152,735,333",-,"$7,501,449","$100,000",88,74,Wildcard
TEX,Texas Rangers,2014,26.8,"$124,805,583","$116,811,403",-,"$7,994,180",-,67,95,No Playoffs
DET,Detroit Tigers,2014,27.8,"$172,143,106","$148,590,789","$15,800,000","$7,255,247","$497,070",90,72,Division Winner
BOS,Boston Red Sox,2014,27.7,"$170,095,758","$95,417,971",-,"$61,397,733","$30,054",71,91,No Playoffs
PHI,Philadelphia Phillies,2014,29.1,"$175,061,605","$145,123,014","$25,000,000","$4,263,731","$674,860",73,89,No Playoffs
NYY,New York Yankees,2014,29.5,"$212,512,317","$196,734,750",-,"$15,663,048","$114,519",84,78,No Playoffs
LAD,Los Angeles Dodgers,2014,28.9,"$241,557,818","$235,557,818",-,"$3,000,000","$3,000,000",94,68,Division Winner
HOU,Houston Astros,2013,25.3,"$28,727,913","$12,078,450",-,"$15,562,961","$1,086,502",51,111,No Playoffs
MIA,Miami Marlins,2013,26.3,"$36,209,554","$27,969,339",-,"$6,896,666","$543,549",62,100,No Playoffs
OAK,Oakland Athletics,2013,28,"$67,055,517","$65,065,572",-,"$1,984,590","$5,355",96,66,Division Winner
PIT,Pittsburgh Pirates,2013,28.2,"$71,480,984","$67,762,905",-,"$832,370","$2,885,709",94,68,Wildcard
TB,Tampa Bay Rays,2013,29.1,"$72,600,703","$70,029,393","$270,436","$2,250,000","$50,874",92,71,Wildcard
SD,San Diego Padres,2013,27.5,"$67,649,701","$64,220,894",-,"$3,238,561","$190,246",76,86,No Playoffs
KC,Kansas City Royals,2013,28.2,"$84,398,434","$76,594,673",-,"$6,399,663","$1,404,098",86,76,No Playoffs
ATL,Atlanta Braves,2013,27.7,"$94,947,950","$94,401,592",-,"$202,972","$343,386",96,66,Division Winner
CLE,Cleveland Guardians,2013,28.1,"$93,008,897","$78,454,465","$602,603","$13,914,068","$37,761",92,70,Wildcard
COL,Colorado Rockies,2013,27.9,"$76,741,788","$73,766,018",-,"$1,459,705","$1,516,065",74,88,No Playoffs
ARI,Arizona Diamondbacks,2013,28.2,"$88,316,478","$78,126,043",-,"$9,916,749","$273,686",81,81,No Playoffs
CIN,Cincinnati Reds,2013,28.3,"$103,804,640","$97,930,597","$4,500,000",-,"$1,374,043",90,72,Wildcard
SEA,Seattle Mariners,2013,26.8,"$82,720,022","$63,758,496",-,"$18,717,866","$243,660",71,91,No Playoffs
BAL,Baltimore Orioles,2013,27.6,"$100,430,869","$97,466,019",-,"$1,222,009","$42,841",85,77,No Playoffs
MIL,Milwaukee Brewers,2013,27.5,"$88,221,045","$70,615,690",-,"$7,818,853","$286,502",74,88,No Playoffs
MIN,Minnesota Twins,2013,27.2,"$81,300,970","$58,450,017",-,"$17,083,194","$5,767,759",66,96,No Playoffs
STL,St. Louis Cardinals,2013,27.8,"$120,192,638","$114,729,933",-,"$5,406,476","$56,229",97,65,Division Winner
WSH,Washington Nationals,2013,26.9,"$116,584,094","$107,973,970","$491,000","$6,025,410","$2,093,714",86,76,No Playoffs
NYM,New York Mets,2013,28,"$101,300,814","$70,361,236","$500,625","$29,697,743","$741,210",74,88,No Playoffs
TEX,Texas Rangers,2013,28.5,"$137,937,146","$124,162,497","$465,901","$13,104,000","$204,748",91,72,No Playoffs
CHC,Chicago Cubs,2013,26.8,"$103,152,899","$55,657,243","$2,263,715","$40,905,330","$4,326,611",66,96,No Playoffs
DET,Detroit Tigers,2013,28.4,"$157,332,966","$151,033,294","$494,000","$5,805,672",-,93,69,Division Winner
BOS,Boston Red Sox,2013,28.9,"$172,084,264","$167,018,895",-,"$5,340,903","$96,393",97,65,Division Winner
CHW,Chicago White Sox,2013,26.9,"$111,777,595","$82,929,539",-,"$28,663,303","$184,753",63,99,No Playoffs
TOR,Toronto Blue Jays,2013,29.3,"$131,771,168","$118,289,792",-,"$5,613,565","$7,867,811",74,88,No Playoffs
LAA,Los Angeles Angels,2013,27.7,"$141,542,644","$117,426,989",-,"$23,845,171","$270,484",78,84,No Playoffs
SF,San Francisco Giants,2013,28.4,"$140,280,186","$137,880,980",-,"$2,157,977","$241,229",76,86,No Playoffs
PHI,Philadelphia Phillies,2013,28.8,"$163,536,898","$154,262,761","$765,791","$8,307,527","$200,819",73,89,No Playoffs
LAD,Los Angeles Dodgers,2013,29.1,"$236,694,375","$207,849,759",-,"$22,547,116","$6,297,500",92,70,Division Winner
NYY,New York Yankees,2013,29.8,"$234,518,126","$221,782,587",-,"$10,760,350","$1,975,189",85,77,No Playoffs
OAK,Oakland Athletics,2012,27.2,"$60,470,192","$56,608,334",-,"$3,861,858",-,94,68,Division Winner
TB,Tampa Bay Rays,2012,28.6,"$68,144,135","$67,844,135",-,"$300,000",-,90,72,No Playoffs
PIT,Pittsburgh Pirates,2012,28.2,"$61,118,682","$57,932,479",-,"$3,186,203",-,79,83,No Playoffs
SD,San Diego Padres,2012,27.5,"$63,831,125","$60,053,625",-,"$2,550,000","$1,227,500",76,86,No Playoffs
BAL,Baltimore Orioles,2012,27,"$82,932,168","$80,099,381",-,"$2,832,787",-,93,69,Wildcard
CIN,Cincinnati Reds,2012,27.8,"$89,901,498","$89,101,498",-,-,"$800,000",97,65,Division Winner
KC,Kansas City Royals,2012,26.4,"$70,344,235","$66,385,000",-,"$2,579,235","$1,380,000",72,90,No Playoffs
HOU,Houston Astros,2012,26.1,"$54,547,239","$23,728,500",-,"$30,818,739",-,55,107,No Playoffs
ARI,Arizona Diamondbacks,2012,28.6,"$80,711,013","$74,074,400",-,"$6,636,613",-,81,81,No Playoffs
WSH,Washington Nationals,2012,27.2,"$98,044,359","$95,623,594",-,"$420,765","$2,000,000",98,64,Division Winner
ATL,Atlanta Braves,2012,28.4,"$97,928,056","$86,492,616",-,"$11,435,440",-,94,68,Wildcard
SEA,Seattle Mariners,2012,26.7,"$84,289,928","$73,071,348",-,"$11,218,580",-,75,87,No Playoffs
CLE,Cleveland Guardians,2012,27.2,"$76,577,243","$70,583,254",-,"$5,993,989",-,68,94,No Playoffs
CHW,Chicago White Sox,2012,27.9,"$108,841,055","$108,119,744",-,"$721,311",-,85,77,No Playoffs
TOR,Toronto Blue Jays,2012,28.2,"$95,551,627","$89,817,658",-,"$5,083,969","$650,000",73,89,No Playoffs
MIL,Milwaukee Brewers,2012,27.7,"$113,095,795","$110,652,079",-,"$2,443,716",-,83,79,No Playoffs
LAD,Los Angeles Dodgers,2012,29,"$117,202,717","$112,952,717",-,"$4,250,000",-,86,76,No Playoffs
COL,Colorado Rockies,2012,27.2,"$87,232,529","$76,398,104",-,"$10,834,425",-,64,98,No Playoffs
STL,St. Louis Cardinals,2012,28,"$119,957,765","$118,482,081",-,"$1,475,684",-,88,74,Wildcard
NYM,New York Mets,2012,27.4,"$104,988,166","$101,049,642",-,"$3,938,524",-,74,88,No Playoffs
MIA,Miami Marlins,2012,27.3,"$98,120,191","$80,745,905",-,"$17,249,970","$124,316",69,93,No Playoffs
SF,San Francisco Giants,2012,29,"$137,043,205","$122,345,338",-,"$14,697,867",-,94,68,Division Winner
TEX,Texas Rangers,2012,27.4,"$138,312,903","$135,062,903",-,"$3,250,000",-,93,69,Wildcard
DET,Detroit Tigers,2012,27.2,"$143,782,286","$138,282,286",-,"$5,500,000",-,88,74,Division Winner
MIN,Minnesota Twins,2012,27.6,"$107,939,507","$107,939,507",-,-,-,66,96,No Playoffs
LAA,Los Angeles Angels,2012,28.4,"$157,168,625","$153,844,690",-,"$3,323,935",-,89,73,No Playoffs
CHC,Chicago Cubs,2012,26.4,"$115,861,526","$83,319,366",-,"$32,542,160",-,61,101,No Playoffs
PHI,Philadelphia Phillies,2012,29.5,"$177,862,491","$167,544,458",-,"$10,318,033",-,81,81,No Playoffs
NYY,New York Yankees,2012,30.4,"$225,589,742","$213,651,218",-,"$11,938,524",-,95,67,Division Winner
BOS,Boston Red Sox,2012,28.5,"$173,216,551","$166,392,780",-,"$6,823,771",-,69,93,No Playoffs
TB,Tampa Bay Rays,2011,27.7,"$45,386,925","$45,386,925",-,-,-,91,71,Wildcard
PIT,Pittsburgh Pirates,2011,26.9,"$47,976,645","$46,168,585",-,"$1,808,060",-,72,90,No Playoffs
SD,San Diego Padres,2011,27.9,"$48,018,810","$47,418,810",-,"$600,000",-,71,91,No Playoffs
ARI,Arizona Diamondbacks,2011,28.5,"$64,297,970","$56,498,519",-,"$6,899,451","$900,000",94,68,Division Winner
CLE,Cleveland Guardians,2011,27.4,"$55,960,593","$55,960,593",-,-,-,80,82,No Playoffs
KC,Kansas City Royals,2011,26.1,"$52,486,804","$38,687,131",-,"$12,419,673","$1,380,000",71,91,No Playoffs
MIA,Miami Marlins,2011,27.2,"$65,006,851","$63,006,851",-,"$2,000,000",-,72,90,No Playoffs
TOR,Toronto Blue Jays,2011,26.2,"$73,491,604","$56,304,461",-,"$17,187,143",-,81,81,No Playoffs
WSH,Washington Nationals,2011,27.4,"$74,574,723","$72,574,723",-,-,"$2,000,000",80,81,No Playoffs
MIL,Milwaukee Brewers,2011,28.5,"$92,277,138","$91,777,138",-,"$500,000",-,96,66,Division Winner
OAK,Oakland Athletics,2011,27.3,"$75,241,048","$68,725,475",-,"$6,515,573",-,74,88,No Playoffs
CIN,Cincinnati Reds,2011,27.8,"$81,920,546","$79,612,874",-,"$2,307,672",-,79,83,No Playoffs
TEX,Texas Rangers,2011,28,"$103,326,721","$98,857,920",-,"$4,468,801",-,96,66,Division Winner
ATL,Atlanta Braves,2011,28.7,"$98,696,230","$98,521,630",-,"$174,600",-,89,73,No Playoffs
COL,Colorado Rockies,2011,27.8,"$82,897,934","$77,367,736",-,"$5,530,198",-,73,89,No Playoffs
DET,Detroit Tigers,2011,27.6,"$111,521,015","$111,271,015",-,"$250,000",-,95,67,Division Winner
STL,St. Louis Cardinals,2011,28.3,"$118,919,465","$115,410,901",-,"$2,808,564","$700,000",90,72,Wildcard
BAL,Baltimore Orioles,2011,27.7,"$91,751,399","$91,391,741",-,-,"$359,658",69,93,No Playoffs
LAD,Los Angeles Dodgers,2011,28.6,"$115,174,517","$98,385,517",-,"$16,789,000",-,82,79,No Playoffs
SF,San Francisco Giants,2011,29,"$125,242,452","$124,142,452",-,"$1,100,000",-,86,76,No Playoffs
SEA,Seattle Mariners,2011,26.9,"$100,829,148","$88,307,834",-,"$12,521,314",-,67,95,No Playoffs
HOU,Houston Astros,2011,27.2,"$84,598,388","$71,121,885",-,"$13,476,503",-,56,106,No Playoffs
CHW,Chicago White Sox,2011,28.5,"$127,263,027","$114,482,025",-,"$12,781,002",-,79,83,No Playoffs
PHI,Philadelphia Phillies,2011,29.9,"$170,018,182","$169,849,882",-,"$168,300",-,102,60,Division Winner
LAA,Los Angeles Angels,2011,27.7,"$146,648,559","$133,613,959",-,"$13,034,600",-,86,76,No Playoffs
MIN,Minnesota Twins,2011,27.4,"$114,445,627","$107,337,033",-,"$7,108,594",-,63,99,No Playoffs
NYM,New York Mets,2011,28.7,"$142,245,841","$96,577,418",-,"$45,668,423",-,77,85,No Playoffs
BOS,Boston Red Sox,2011,28.9,"$170,490,761","$162,455,090",-,"$8,239,278",-,90,72,No Playoffs
CHC,Chicago Cubs,2011,28.1,"$137,666,584","$123,941,584",-,"$13,725,000",-,71,91,No Playoffs
NYY,New York Yankees,2011,29.5,"$210,950,685","$210,950,685",-,-,-,97,65,Division Winner
