,county_fips,year,dem_share
0,10001,2000,0.48622815813616094
1,10001,2004,0.43051397655545537
2,10001,2008,0.5495703650009816
3,10001,2012,0.5250657680825278
4,10001,2016,0.47412641096357794
5,10001,2020,0.5207045265950608
6,10001,2024,0.5101753576372866
7,10003,2000,0.618742904825204
8,10003,2004,0.6109780514209521
9,10003,2008,0.7055443293761051
10,10003,2012,0.672871226521473
11,10003,2016,0.655757434270902
12,10003,2020,0.6881982229938108
13,10003,2024,0.665395039179874
14,10005,2000,0.46207989558569895
15,10005,2004,0.39037107171113217
16,10005,2008,0.45670799428817516
17,10005,2012,0.4340673659521793
18,10005,2016,0.3858294750058856
19,10005,2020,0.44313277878541496
20,10005,2024,0.44450538526405275
21,1001,2000,0.2918216710953646
22,1001,2004,0.23844843139220206
23,1001,2008,0.25932073544433093
24,1001,2012,0.2680060652009098
25,1001,2016,0.2462253193960511
26,1001,2020,0.274423027687356
27,1001,2024,0.2664112022347169
28,1003,2000,0.25509850735387923
29,1003,2004,0.2274901560449176
30,1003,2008,0.24035111645610424
31,1003,2012,0.21819043107531974
32,1003,2016,0.2020779277651876
33,1003,2020,0.22731728972826992
34,1003,2024,0.20652353974091375
35,1005,2000,0.5044729677168417
36,1005,2004,0.45028422327835244
37,1005,2008,0.49269220790452306
38,1005,2012,0.5157913104170302
39,1005,2016,0.47176755447941887
40,1005,2020,0.461391071086415
41,1005,2024,0.4258500614502253
42,1007,2000,0.38808535013604467
43,1007,2004,0.27628620552836924
44,1007,2008,0.26854339446326364
45,1007,2012,0.26421886249100074
46,1007,2016,0.21760334417092428
47,1007,2020,0.208810850594049
48,1007,2024,0.17615058209117615
49,1009,2000,0.28207889367490363
50,1009,2004,0.18467454511348716
51,1009,2008,0.14729622349546234
52,1009,2012,0.12517385257301808
53,1009,2016,0.08618828702778333
54,1009,2020,0.09652297905012613
55,1009,2024,0.09223057644110276
56,1011,2000,0.7031897265948633
57,1011,2004,0.6823979591836735
58,1011,2008,0.7425027767493521
59,1011,2012,0.7644954819277109
60,1011,2016,0.7558886509635975
61,1011,2020,0.7504355400696864
62,1011,2024,0.730411361410382
63,1013,2000,0.46631320315530844
64,1013,2004,0.4066968541468065
65,1013,2008,0.4329577173575933
66,1013,2012,0.46231899376387275
67,1013,2016,0.43189984931030484
68,1013,2020,0.420778945134246
69,1013,2024,0.38596699513237565
70,1015,2000,0.41434085120907393
71,1015,2004,0.3359467224981625
72,1015,2008,0.3355244238116758
73,1015,2012,0.33874948131647337
74,1015,2016,0.28720150953217516
75,1015,2020,0.30240276646063957
76,1015,2024,0.27426932191410636
77,1017,2000,0.4819359821505192
78,1017,2004,0.4122908474053512
79,1017,2008,0.4573523476389076
80,1017,2012,0.4739601296820032
81,1017,2016,0.42445145666691125
82,1017,2020,0.4210212991136394
83,1017,2024,0.38289883819778975
84,1019,2000,0.4570644360214351
85,1019,2004,0.33917215218118935
86,1019,2008,0.24010828821324448
87,1019,2012,0.22120771944386802
88,1019,2016,0.14733333333333334
89,1019,2020,0.1330384205783567
90,1019,2024,0.12028502827046704
91,1021,2000,0.3231576116191501
92,1021,2004,0.22749443005961342
93,1021,2008,0.20834751049109673
94,1021,2012,0.19602977667493796
95,1021,2016,0.16179413072476656
96,1021,2020,0.16040296481887462
97,1021,2024,0.13752676113773066
98,1023,2000,0.5073217462706994
99,1023,2004,0.45875
100,1023,2008,0.46265428171523093
101,1023,2012,0.47694633408919124
102,1023,2016,0.4309078309078309
103,1023,2020,0.42125825138084333
104,1023,2024,0.38002417648836506
105,1025,2000,0.43864254242054934
106,1025,2004,0.4074139297349652
107,1025,2008,0.4420029895366218
108,1025,2012,0.4588525065198493
109,1025,2016,0.4460392582822562
110,1025,2020,0.44001835002676043
111,1025,2024,0.4143121426168853
112,1027,2000,0.3547883414295628
113,1027,2004,0.29047107564830443
114,1027,2008,0.2609727164887307
115,1027,2012,0.2694874127995147
116,1027,2016,0.1908361616784943
117,1027,2020,0.18447874199184625
118,1027,2024,0.14761409246320797
119,1029,2000,0.33299979987992795
120,1029,2004,0.2414511369553897
121,1029,2008,0.18295739348370926
122,1029,2012,0.15553419830209836
123,1029,2016,0.10607940446650124
124,1029,2020,0.09428691157982959
125,1029,2024,0.07967865138943764
126,1031,2000,0.3443726085235519
127,1031,2004,0.2560146294073947
128,1031,2008,0.25397539753975396
129,1031,2012,0.25139094482160174
130,1031,2016,0.21004179936305734
131,1031,2020,0.23098976109215016
132,1031,2024,0.20822773352643012
133,1033,2000,0.5005935140781539
134,1033,2004,0.4455562095350206
135,1033,2008,0.39698060715162425
136,1033,2012,0.3967621850921998
137,1033,2016,0.3039321639371519
138,1033,2020,0.30287519059028534
139,1033,2024,0.2658001564187554
140,1035,2000,0.5076614374315943
141,1035,2004,0.45392320534223707
142,1035,2008,0.4970285548630236
143,1035,2012,0.5082928224192165
144,1035,2016,0.47384615384615386
145,1035,2020,0.46285892634207243
146,1035,2024,0.42978510744627685
147,1037,2000,0.4690147124386982
148,1037,2004,0.41431451612903225
149,1037,2008,0.41170077884441225
150,1037,2012,0.4181297709923664
151,1037,2016,0.3451481696687972
152,1037,2020,0.33093790307720655
153,1037,2024,0.2822765469824293
154,1039,2000,0.33131855831654355
155,1039,2004,0.23538715444918168
156,1039,2008,0.20657995409334354
157,1039,2012,0.20625693945529358
158,1039,2016,0.15248498786252715
159,1039,2020,0.15721962211821805
160,1039,2024,0.13618974751338944
161,1041,2000,0.4091389887878147
162,1041,2004,0.3101369863013699
163,1041,2008,0.3097330989291993
