,city,avg_temp
0,Abilene,16.8925
1,Akron,9.605075665277333
2,Albuquerque,11.135263937282229
3,Alexandria,11.918474511061238
4,Allentown,9.523295607566528
5,Amarillo,15.023385972461275
6,Anaheim,16.124837126960042
7,Anchorage,-2.3016456107756618
8,Ann Arbor,8.52034129258198
9,Antioch,14.447987354577641
10,Arlington,14.54253232916973
11,Arvada,2.4194053356282272
12,Atlanta,14.436725553061878
13,Aurora,9.42382626963829
14,Austin,19.98009499136442
15,Bakersfield,15.817692463328276
16,Baltimore,11.918474511061238
17,Baton Rouge,20.30314216673379
18,Beaumont,20.018034838709678
19,Bellevue,7.50399770852429
20,Berkeley,14.447987354577641
21,Birmingham,17.09421769798012
22,Boston,7.3414405258095545
23,Bridgeport,9.99492978518756
24,Brownsville,22.6189256993007
25,Buffalo,7.7269057624960205
26,Burbank,15.878038442083966
27,Cambridge,7.3414405258095545
28,Cape Coral,23.035940394973068
29,Carrollton,18.06272
30,Cary,14.41886117345303
31,Cedar Rapids,7.975768545049347
32,Chandler,21.04876905095839
33,Charleston,18.696557871112535
34,Charlotte,15.994026611093298
35,Chattanooga,15.076709842898365
36,Chesapeake,15.67885604360372
37,Chicago,10.070643744030564
38,Chula Vista,16.124837126960042
39,Cincinnati,11.22867393395319
40,Clarksville,14.281885540237257
41,Clearwater,21.925672809569996
42,Cleveland,9.605075665277333
43,Colorado Springs,8.777836262323188
44,Columbia,15.994026611093298
45,Columbus,14.017228598909906
46,Concord,14.447987354577641
47,Coral Springs,23.068924442896936
48,Corona,16.124837126960042
49,Corpus Christi,21.533556036347903
50,Costa Mesa,16.124837126960042
51,Dallas,18.06272
52,Dayton,11.299415517794165
53,Denton,18.06272
54,Denver,8.777836262323188
55,Des Moines,9.857171601400827
56,Detroit,8.52034129258198
57,Downey,15.878038442083966
58,Durham,14.41886117345303
59,East Los Angeles,15.878038442083966
60,Edison,9.523295607566528
61,El Monte,15.878038442083966
62,El Paso,15.848164295548417
63,Elizabeth,9.523295607566528
64,Escondido,16.124837126960042
65,Eugene,9.777756186984417
66,Evansville,13.470390830394356
67,Fairfield,14.447987354577641
68,Fayetteville,16.415527092016674
69,Flint,8.52034129258198
70,Fontana,17.055758725341427
71,Fort Collins,8.181638900458143
72,Fort Lauderdale,23.068924442896936
73,Fort Wayne,9.700766316459726
74,Fort Worth,18.06272
75,Fremont,14.447987354577641
76,Fresno,15.817692463328276
77,Fullerton,16.124837126960042
78,Gainesville,20.139912151330556
79,Garden Grove,16.124837126960042
80,Garland,18.06272
81,Gilbert,21.04876905095839
82,Glendale,18.565160106899906
83,Grand Prairie,18.06272
84,Grand Rapids,8.435723654886978
85,Green Bay,7.113489016236867
86,Greensboro,14.41886117345303
87,Hampton,15.67885604360372
88,Hartford,9.99492978518756
89,Hayward,14.447987354577641
90,Henderson,17.45498153547133
91,Hialeah,23.068924442896936
92,Highlands Ranch,8.777836262323188
93,Hollywood,23.068924442896936
94,Houston,20.22896430107527
95,Huntington Beach,16.124837126960042
96,Huntsville,15.076709842898365
97,Independence,11.795634238569955
98,Indianapolis,11.22867393395319
99,Inglewood,15.878038442083966
100,Irvine,16.124837126960042
101,Irving,18.06272
102,Jackson,17.71823204994797
103,Jacksonville,21.045303622956073
104,Jersey City,9.523295607566528
105,Joliet,9.903639923591212
106,Kansas City,11.795634238569955
107,Killeen,18.54272430107527
108,Knoxville,12.93762359730683
109,Lafayette,20.107618924731185
110,Lakewood,8.777836262323188
111,Lancaster,15.878038442083966
112,Lansing,8.435723654886978
113,Laredo,21.851215034965037
114,Las Vegas,17.45498153547133
115,Lexington Fayette,13.013891952548894
116,Lincoln,10.051168201978847
117,Little Rock,16.382053970436576
118,Long Beach,16.124837126960042
119,Los Angeles,15.878038442083966
120,Louisville,13.013891952548894
121,Lowell,7.3414405258095545
122,Lubbock,15.730908502373758
123,Madison,7.999159821712831
124,Manchester,7.3414405258095545
125,Memphis,16.07540654055787
126,Mesa,21.04876905095839
127,Mesquite,18.06272
128,Metairie,20.30314216673379
129,Miami,23.068924442896936
130,Milwaukee,10.070643744030564
131,Minneapolis,4.946022285896212
132,Miramar,23.068924442896936
133,Mobile,18.379143947277143
134,Modesto,12.305704602933739
135,Montgomery,17.09421769798012
136,Moreno Valley,17.055758725341427
137,Naperville,9.903639923591212
138,Nashville,14.281885540237257
139,New Haven,9.99492978518756
140,New Orleans,20.30314216673379
141,New York,9.523295607566528
142,Newark,9.523295607566528
143,Newport News,13.669630650849632
144,Nogales,17.69484291725105
145,Norfolk,15.67885604360372
146,Norman,16.531491002570693
147,North Las Vegas,17.45498153547133
148,Norwalk,15.878038442083966
149,Nuevo Laredo,21.851215034965037
150,Oakland,14.447987354577641
151,Oceanside,16.124837126960042
152,Oklahoma City,15.225908939014202
153,Olathe,11.844996579247436
154,Omaha,10.051168201978847
155,Ontario,17.055758725341427
156,Orange,16.124837126960042
157,Orlando,22.30260243667842
158,Overland Park,11.795634238569955
159,Oxnard,15.878038442083966
160,Palmdale,15.878038442083966
161,Paradise,17.45498153547133
162,Pasadena,18.229480241748025
163,Paterson,9.523295607566528
164,Pembroke Pines,23.068924442896936
165,Peoria,14.423363446969697
166,Philadelphia,11.855868547611413
167,Phoenix,21.04876905095839
168,Pittsburgh,9.605075665277333
169,Plano,18.06272
170,Pomona,15.878038442083966
171,Port Saint Lucie,23.068924442896936
172,Portland,9.762706232813931
173,Providence,7.3414405258095545
174,Provo,9.062617834394905
175,Pueblo,10.730368330464715
176,Raleigh,14.41886117345303
