,DIM_TIME,Country,RATE_PER_10000_N,Year,GDP_Per_Cap,log_GDP_Per_Cap,Value,uhc_indicator,residuals_robust
60,2020,Liberia,0.01,2020,642.19,6.464884210061116,No,0,0.3713464803582911
61,2020,Libya,5.8,2020,6282.37,8.745502576804133,No,0,2.2024753965655917
62,2020,Lithuania,11.09,2020,19935.82,9.900273392653963,No,0,5.487936251419471
63,2020,Malawi,0.08,2020,603.95,6.403491413051287,No,0,0.5479167739153253
64,2020,Malaysia,3.42,2020,11211.79,9.324721182177056,No,0,-1.1829763797788786
65,2020,Maldives,1.02,2020,10311.79,9.241043179787923,No,0,-3.4377217291812143
66,2020,Malta,5.19,2020,29929.5,10.306599895060696,No,0,-1.1173962427908135
67,2020,Mauritania,0.25,2020,1618.17,7.38905116008435,No,0,-0.9928929085706208
68,2020,Mexico,1.15,2020,9153.39,9.121879581457705,No,0,-3.1008684780851508
69,2020,Mongolia,4.7,2020,4363.27,8.380977055233625,Yes,1,-0.5763894915846279
70,2020,Republic of Moldova,5.38,2020,4436.0,8.397508348470257,Yes,1,0.08603643581459686
71,2020,Montenegro,0.51,2020,8734.83,9.075073760444026,No,0,-3.659619368603998
72,2020,Mozambique,0.09,2020,494.36,6.203263996721534,No,0,0.9054867752138805
73,2020,Namibia,0.51,2020,5565.45,8.62433312297414,No,0,-2.8771894355686953
74,2020,Nepal,1.27,2020,1194.79,7.085725716705323,No,0,0.5536425014229178
75,2020,New Zealand,4.86,2020,41298.09,10.628571530906335,Yes,1,-2.805760239969125
76,2020,Nigeria,0.22,2020,2110.81,7.65482703906056,No,0,-1.4842469243900804
77,2020,Norway,9.12,2020,72782.92,11.195236591273668,Yes,1,0.8518299685723871
78,2020,Panama,2.8,2020,15502.04,9.648726907150346,Yes,1,-3.824107883503153
79,2020,Peru,2.02,2020,6615.91,8.797232633225269,No,0,-1.6673215758323212
80,2020,Philippines,2.53,2020,3422.27,8.138059352566954,No,0,-0.013078383695903195
81,2020,Poland,8.85,2020,15640.1,9.657593407940753,No,0,3.669198654680926
82,2020,Portugal,11.25,2020,22640.49,10.02749517519245,Yes,1,4.223231480927702
83,2020,Romania,9.63,2020,12841.82,9.46046231174743,Yes,1,3.2060322761568925
84,2020,Russian Federation,2.79,2020,10964.82,9.302447244848574,Yes,1,-3.465985206205385
85,2020,Rwanda,0.16,2020,825.79,6.7163405039090645,No,0,0.08484949117812221
86,2020,Saudi Arabia,6.33,2020,22302.27,10.012443745989554,No,0,0.5332224076853862
