,Year,Pick,Unnamed: 2,BPM,Rank_BPM,Pick.1,Avg_BPM,Rank_Pick
86,2011,27,JaJuan Johnson,-3.9,,,,
87,2011,28,Norris Cole,-4.1,,,,
88,2011,29,Cory Joseph,-1.1,,,,
89,2011,30,Jimmy Butler,5.0,,,,
90,2011,31,Bojan Bogdanović,-0.9,,,,
91,2011,32,Justin Harper,-8.7,,,,
92,2011,33,Kyle Singler,-2.5,,,,
93,2011,34,Shelvin Mack,-1.9,,,,
94,2011,35,Tyler Honeycutt,-5.1,,,,
95,2011,36,Jordan Williams,-2.1,,,,
96,2011,37,Trey Thompkins,-5.7,,,,
97,2011,38,Chandler Parsons,1.1,,,,
98,2011,39,Jeremy Tyler,-7.0,,,,
99,2011,40,Jon Leuer,-0.7,,,,
100,2011,41,Darius Morris,-5.1,,,,
101,2011,42,Dāvis Bertāns,0.2,,,,
102,2011,43,Malcolm Lee,-2.5,,,,
103,2011,44,Charles Jenkins,-4.5,,,,
104,2011,45,Josh Harrellson,-0.4,,,,
105,2011,46,Andrew Goudelock,-5.0,,,,
106,2011,47,Travis Leslie,-0.3,,,,
107,2011,48,Keith Benson,-7.7,,,,
108,2011,49,Josh Selby,-9.5,,,,
109,2011,50,Lavoy Allen,-2.1,,,,
110,2011,51,Jon Diebler,0.0,,,,
111,2011,52,Vernon Macklin,1.2,,,,
112,2011,53,DeAndre Liggins,-2.2,,,,
113,2011,54,Milan Mačvan,0.0,,,,
114,2011,55,E'Twaun Moore,-1.9,,,,
115,2011,56,Chukwudiebere Maduabum,0.0,,,,
116,2011,57,Tanguy Ngombo,0.0,,,,
117,2011,58,Ater Majok,0.0,,,,
118,2011,59,Ádám Hanga,0.0,,,,
119,2011,60,Isaiah Thomas,2.1,,,,
120,2012,1,Anthony Davis,5.9,,,,
121,2012,2,Michael Kidd-Gilchrist,-1.8,,,,
122,2012,3,Bradley Beal,1.4,,,,
123,2012,4,Dion Waiters,-2.1,,,,
124,2012,5,Thomas Robinson,-3.5,,,,
125,2012,6,Damian Lillard,4.6,,,,
126,2012,7,Harrison Barnes,-0.8,,,,
127,2012,8,Terrence Ross,-1.0,,,,
128,2012,9,Andre Drummond,1.0,,,,
129,2012,10,Austin Rivers,-3.1,,,,
130,2012,11,Meyers Leonard,-1.5,,,,
131,2012,12,Jeremy Lamb,0.6,,,,
132,2012,13,Kendall Marshall,-3.5,,,,
133,2012,14,John Henson,-0.5,,,,
134,2012,15,Maurice Harkless,-0.8,,,,
135,2012,16,Royce White,-16.9,,,,
136,2012,17,Tyler Zeller,-2.0,,,,
137,2012,18,Terrence Jones,0.5,,,,
138,2012,19,Andrew Nicholson,-3.6,,,,
139,2012,20,Evan Fournier,-1.1,,,,
140,2012,21,Jared Sullinger,-0.4,,,,
141,2012,22,Fab Melo,-7.6,,,,
142,2012,23,John Jenkins,-1.9,,,,
143,2012,24,Jared Cunningham,-5.7,,,,
144,2012,25,Tony Wroten,-3.4,,,,
145,2012,26,Miles Plumlee,-1.9,,,,
146,2012,27,Arnett Moultrie,-2.8,,,,
147,2012,28,Perry Jones,-3.5,,,,
148,2012,29,Marquis Teague,-6.5,,,,
149,2012,30,Festus Ezeli,-2.0,,,,
150,2012,31,Jeff Taylor,-4.2,,,,
151,2012,32,Tomáš Satoranský,-0.9,,,,
152,2012,33,Bernard James,-1.8,,,,
153,2012,34,Jae Crowder,0.1,,,,
154,2012,35,Draymond Green,2.2,,,,
