Year,Pick,,BPM,Rank_BPM,Pick,Avg_BPM,Rank_Pick
2011,48,Keith Benson,-7.7,,,,
2011,49,Josh Selby,-9.5,,,,
2011,50,Lavoy Allen,-2.1,,,,
2011,51,Jon Diebler,0,,,,
2011,52,Vernon Macklin,1.2,,,,
2011,53,DeAndre Liggins,-2.2,,,,
2011,54,Milan Mačvan,0,,,,
2011,55,E'Twaun Moore,-1.9,,,,
2011,56,Chukwudiebere Maduabum,0,,,,
2011,57,Tanguy Ngombo,0,,,,
2011,58,Ater Majok,0,,,,
2011,59,Ádám Hanga,0,,,,
2011,60,Isaiah Thomas,2.1,,,,
2012,1,Anthony Davis,5.9,,,,
2012,2,Michael Kidd-Gilchrist,-1.8,,,,
2012,3,Bradley Beal,1.4,,,,
2012,4,Dion Waiters,-2.1,,,,
2012,5,Thomas Robinson,-3.5,,,,
2012,6,Damian Lillard,4.6,,,,
2012,7,Harrison Barnes,-0.8,,,,
2012,8,Terrence Ross,-1,,,,
2012,9,Andre Drummond,1,,,,
2012,10,Austin Rivers,-3.1,,,,
2012,11,Meyers Leonard,-1.5,,,,
2012,12,Jeremy Lamb,0.6,,,,
2012,13,Kendall Marshall,-3.5,,,,
2012,14,John Henson,-0.5,,,,
2012,15,Maurice Harkless,-0.8,,,,
2012,16,Royce White,-16.9,,,,
2012,17,Tyler Zeller,-2,,,,
2012,18,Terrence Jones,0.5,,,,
2012,19,Andrew Nicholson,-3.6,,,,
2012,20,Evan Fournier,-1.1,,,,
2012,21,Jared Sullinger,-0.4,,,,
2012,22,Fab Melo,-7.6,,,,
2012,23,John Jenkins,-1.9,,,,
2012,24,Jared Cunningham,-5.7,,,,
2012,25,Tony Wroten,-3.4,,,,
2012,26,Miles Plumlee,-1.9,,,,
2012,27,Arnett Moultrie,-2.8,,,,
2012,28,Perry Jones,-3.5,,,,
2012,29,Marquis Teague,-6.5,,,,
2012,30,Festus Ezeli,-2,,,,
2012,31,Jeff Taylor,-4.2,,,,
2012,32,Tomáš Satoranský,-0.9,,,,
2012,33,Bernard James,-1.8,,,,
2012,34,Jae Crowder,0.1,,,,
2012,35,Draymond Green,2.2,,,,
2012,36,Orlando Johnson,-2.4,,,,
2012,37,Quincy Acy,-2,,,,
2012,38,Quincy Miller,-3.9,,,,
2012,39,Khris Middleton,0.7,,,,
2012,40,Will Barton,-0.4,,,,
2012,41,Tyshawn Taylor,-8.1,,,,
2012,42,Doron Lamb,-5.8,,,,
2012,43,Mike Scott,-1.7,,,,
2012,44,Kim English,-4.2,,,,
2012,45,Justin Hamilton,-0.9,,,,
2012,46,Darius Miller,-2.3,,,,
2012,47,Kevin Murphy,-16.8,,,,
2012,48,Kostas Papanikolaou,-2.7,,,,
2012,49,Kyle O'Quinn,0.9,,,,
2012,50,İzzet Türkyılmaz,0,,,,
2012,51,Kris Joseph,-9.9,,,,
2012,52,Ognjen Kuzmić,-5.6,,,,
2012,53,Furkan Aldemir,-3.6,,,,
2012,54,Tornike Shengelia,-7,,,,
2012,55,Darius Johnson-Odom,-25.5,,,,
2012,56,Tomislav Zubčić,0,,,,
2012,57,İlkan Karaman,0,,,,
2012,58,Robbie Hummel,-3.1,,,,
2012,59,Marcus Denmon,0,,,,
2012,60,Robert Sacre,-4,,,,
2013,1,Anthony Bennett,-4.8,,,,
2013,2,Victor Oladipo,0.7,,,,
2013,3,Otto Porter Jr.,1.7,,,,
2013,4,Cody Zeller,-0.7,,,,
2013,5,Alex Len,-1.9,,,,
2013,6,Nerlens Noel,0.9,,,,
2013,7,Ben McLemore,-3.1,,,,
2013,8,Kentavious Caldwell-Pope,-1,,,,
2013,9,Trey Burke,-1.3,,,,
2013,10,CJ McCollum,1.1,,,,
2013,11,Michael Carter-Williams,-1.2,,,,
2013,12,Steven Adams,0.5,,,,
2013,13,Kelly Olynyk,0.9,,,,
2013,14,Shabazz Muhammad,-2,,,,
2013,15,Giannis Antetokounmpo,6.8,,,,
2013,16,Lucas Nogueira,2.3,,,,
2013,17,Dennis Schröder,-1.5,,,,
2013,18,Shane Larkin,-2.4,,,,
2013,19,Sergey Karasev,-3.4,,,,
2013,20,Tony Snell,-2,,,,
2013,21,Gorgui Dieng,0.2,,,,
