,year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,d_share,now,log_votes,residuals
112,2000,ALABAMA,AL,FAYETTE,1057.0,US PRESIDENT,AL GORE,DEMOCRAT,3064,7808,20250821,TOTAL,0.39241803278688525,0,8.962904128092928,0.006121108562145705
116,2000,ALABAMA,AL,FRANKLIN,1059.0,US PRESIDENT,AL GORE,DEMOCRAT,4793,11103,20250821,TOTAL,0.43168513014500587,0,9.314970621054266,0.03396649526459544
120,2000,ALABAMA,AL,GENEVA,1061.0,US PRESIDENT,AL GORE,DEMOCRAT,2769,9559,20250821,TOTAL,0.28967465216026783,0,9.165238398063762,-0.10318638291721066
124,2000,ALABAMA,AL,GREENE,1063.0,US PRESIDENT,AL GORE,DEMOCRAT,3504,4396,20250821,TOTAL,0.7970882620564149,0,8.388450315523512,0.4294277186386821
128,2000,ALABAMA,AL,HALE,1065.0,US PRESIDENT,AL GORE,DEMOCRAT,4652,7731,20250821,TOTAL,0.6017332815935843,0,8.952993499320474,0.21575787712865663
132,2000,ALABAMA,AL,HENRY,1067.0,US PRESIDENT,AL GORE,DEMOCRAT,2782,6932,20250821,TOTAL,0.4013271783035199,0,8.843903650835497,0.018890857249756865
136,2000,ALABAMA,AL,HOUSTON,1069.0,US PRESIDENT,AL GORE,DEMOCRAT,9412,32057,20250821,TOTAL,0.29360202139938235,0,10.37527084723745,-0.13851478153656244
140,2000,ALABAMA,AL,JACKSON,1071.0,US PRESIDENT,AL GORE,DEMOCRAT,9066,17906,20250821,TOTAL,0.506310733832235,0,9.792891131194102,0.09308744317696432
144,2000,ALABAMA,AL,JEFFERSON,1073.0,US PRESIDENT,AL GORE,DEMOCRAT,129889,273763,20250821,TOTAL,0.4744578339658756,0,12.520018047569776,-0.02723867178616779
148,2000,ALABAMA,AL,LAMAR,1075.0,US PRESIDENT,AL GORE,DEMOCRAT,2653,7249,20250821,TOTAL,0.3659815146916816,0,8.888618807300878,-0.01790545159325574
152,2000,ALABAMA,AL,LAUDERDALE,1077.0,US PRESIDENT,AL GORE,DEMOCRAT,13875,32137,20250821,TOTAL,0.4317453402620033,0,10.377763293304536,-0.0004523223932623166
156,2000,ALABAMA,AL,LAWRENCE,1079.0,US PRESIDENT,AL GORE,DEMOCRAT,6296,12185,20250821,TOTAL,0.5167008617152237,0,9.407960966059306,0.1159654421204121
160,2000,ALABAMA,AL,LEE,1081.0,US PRESIDENT,AL GORE,DEMOCRAT,14574,38264,20250821,TOTAL,0.38088020071085094,0,10.552264785360133,-0.05697862422792893
164,2000,ALABAMA,AL,LIMESTONE,1083.0,US PRESIDENT,AL GORE,DEMOCRAT,8992,23634,20250821,TOTAL,0.3804688161123805,0,10.07044163219896,-0.04175874384483175
168,2000,ALABAMA,AL,LOWNDES,1085.0,US PRESIDENT,AL GORE,DEMOCRAT,4557,6243,20250821,TOTAL,0.7299375300336377,0,8.739216115061744,0.35089747294355245
172,2000,ALABAMA,AL,MACON,1087.0,US PRESIDENT,AL GORE,DEMOCRAT,7665,8831,20250821,TOTAL,0.8679651228626429,0,9.086023537468803,0.4776739694280741
176,2000,ALABAMA,AL,MADISON,1089.0,US PRESIDENT,AL GORE,DEMOCRAT,48199,113318,20250821,TOTAL,0.42534284050195026,0,11.637953304653513,-0.04773779729737487
180,2000,ALABAMA,AL,MARENGO,1091.0,US PRESIDENT,AL GORE,DEMOCRAT,4841,9608,20250821,TOTAL,0.5038509575353872,0,9.170351363759819,0.11082404806787088
184,2000,ALABAMA,AL,MARION,1093.0,US PRESIDENT,AL GORE,DEMOCRAT,4600,11756,20250821,TOTAL,0.39128955427015993,0,9.372119027538808,-0.008283084261119844
188,2000,ALABAMA,AL,MARSHALL,1095.0,US PRESIDENT,AL GORE,DEMOCRAT,10381,27989,20250821,TOTAL,0.3708957090285469,0,10.239566854825899,-0.05681859674526574
192,2000,ALABAMA,AL,MOBILE,1097.0,US PRESIDENT,AL GORE,DEMOCRAT,58640,139745,20250821,TOTAL,0.4196214533614798,0,11.847574612201978,-0.06025970073220588
196,2000,ALABAMA,AL,MONROE,1099.0,US PRESIDENT,AL GORE,DEMOCRAT,3741,8951,20250821,TOTAL,0.41794212937102,0,9.099520536870939,0.027213107451454832
200,2000,ALABAMA,AL,MONTGOMERY,1101.0,US PRESIDENT,AL GORE,DEMOCRAT,40371,80328,20250821,TOTAL,0.5025769345682701,0,11.293873531559273,0.04065890295079161
204,2000,ALABAMA,AL,MORGAN,1103.0,US PRESIDENT,AL GORE,DEMOCRAT,16060,42681,20250821,TOTAL,0.37627984349007754,0,10.661509135319276,-0.06512307718330324
208,2000,ALABAMA,AL,PERRY,1105.0,US PRESIDENT,AL GORE,DEMOCRAT,4020,5787,20250821,TOTAL,0.6946604458268533,0,8.663369301573839,0.31808100448729504
212,2000,ALABAMA,AL,PICKENS,1107.0,US PRESIDENT,AL GORE,DEMOCRAT,4143,8540,20250821,TOTAL,0.4851288056206089,0,9.052516286782616,0.09592469150916783
216,2000,ALABAMA,AL,PIKE,1109.0,US PRESIDENT,AL GORE,DEMOCRAT,4357,10544,20250821,TOTAL,0.4132207890743551,0,9.263312256742289,0.01717805037240161
220,2000,ALABAMA,AL,RANDOLPH,1111.0,US PRESIDENT,AL GORE,DEMOCRAT,3094,7919,20250821,TOTAL,0.3907058972092436,0,8.977020214210413,0.00395102014193649
224,2000,ALABAMA,AL,RUSSELL,1113.0,US PRESIDENT,AL GORE,DEMOCRAT,8396,14775,20250821,TOTAL,0.5682571912013537,0,9.6006918422743,0.16126921322183008
