,Code,Coffee_2019
0,AUT,7.925747078802512
2,BGR,3.638312723156656
3,HRV,5.623266251817538
4,CYP,5.615069870999873
5,CZE,4.739562981932876
6,DNK,8.028313046421466
7,EST,5.561844241230298
8,FIN,14.647912219741864
9,FRA,5.513147659625636
10,DEU,6.260458015686094
11,GRC,6.37405935056972
12,HUN,2.5667422054394673
13,IRL,4.499081944089787
14,ITA,5.493806275037113
15,LVA,3.574000089872517
16,LTU,5.389857404987658
17,LUX,21.6773843913155
18,MLT,2.7377584503493617
19,NLD,7.022247610446752
20,POL,3.952538457638157
21,PRT,5.430543628915574
22,ROU,3.4318195333716575
23,SVK,2.497182419175721
24,SVN,5.860988275629254
25,ESP,4.140886283323733
26,SWE,10.326020706327446
27,JPN,3.577740399421951
28,NOR,8.650130817801992
29,RUS,1.9882671475614808
30,CHE,7.507626573126475
31,TUN,2.529604589937651
32,GBR,3.3843870564580847
33,USA,4.990711280003137
