,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,jitter
0,AUT,10.47168152542704,10.073642556678102,9.27467146147115,10.132015994165172,8.210563401401037,7.639390569881929,8.111554479654963,8.185198846240876,8.311615112296439,8.430589150289704,6.553025962714406,7.557546087912987,6.874572581863526,5.319264862820223,7.312805755677398,5.629674607967667,4.440874866861435,6.126222607545524,6.546899740142878,6.371562026305346,6.478223460208308,7.986517062272549,9.032038112496206,8.837448611840129,7.968308364407005,7.886425293765292,8.193054835092738,7.924919233342495,7.954282332455293,7.9257470788025115,0.5816076974563991
2,BGR,0.7019726003577078,0.1181599438485412,1.229484586010292,2.3157784656917184,2.5084114093162495,2.8051168281195,1.764953617353751,1.9850655697234432,2.3544270131259304,2.652660747831103,2.0195413266697444,2.6220037052658074,2.610639235304723,3.063536749001039,2.830166674009895,3.368598292303458,3.3153436472095463,2.894502539183798,3.5635345511367875,3.2964185500513605,3.2046085786966003,2.939444183765341,3.087920318515696,3.460371928042433,3.122950390770242,3.393707236467697,3.804808818177558,3.5189636101005277,3.6384150005188585,3.6383127231566563,0.5079350764766684
3,HRV,0.0,0.0,1.7701752998043192,1.721565851089336,2.1152083480222803,3.7402354530165387,4.002548113415185,4.776269482151835,4.236413963838235,4.4807901082237125,4.390929708869275,4.702717109936129,4.950985246063967,5.228425251760295,5.1572736142731035,5.206321365058484,5.372105273779046,5.373279349972403,5.248619105019949,5.1008308361483525,5.168287110920521,5.1441122341566246,5.06144263299995,5.456225772137015,5.20952654416572,5.35254985959667,5.461929512841404,5.251506171247106,5.283960269511329,5.623266251817538,0.47874302068652974
4,CYP,2.3589093214965122,3.3789660614145856,2.8873525321711533,5.665955597310366,3.197370103879002,2.991588765540608,3.5452208831690637,3.075308282941733,3.0175147049176743,3.4778875053671103,4.23944646749705,3.2959174155032493,3.115474132401542,3.1788873894137053,3.533971280593393,4.049902513060935,3.1266640011066498,3.8552044794868667,4.229258781204515,4.050499831679229,3.9302956750813944,4.244222704670217,4.409643804536918,4.575960951799878,4.129159427185332,4.6998180715585205,4.658225650127183,4.8157958102576455,6.399574674421639,5.615069870999873,0.5772804414296876
5,CZE,3.826443589715054,3.055707586439177,2.7444192689630698,2.602166245315157,2.955411320386619,2.9688436992877003,2.762902001029351,2.8241100583833805,3.0482672426965682,3.2555869099734926,3.2764303837041275,3.717477576944592,3.7776127605640766,3.6668635799222247,3.5598352904418618,3.8545849975164566,3.6976610291823198,3.9557899209502283,3.5880042790273254,3.016104273331434,2.6922757463188858,3.2697896587757267,3.910269309095372,3.6350590892075076,5.689123598490387,4.0280449786977295,4.576801107517727,4.553332607166138,6.53626252219206,4.739562981932876,0.5886231133888474
6,DNK,10.095431982367424,10.581460365698685,11.12664535703305,10.303301759154829,10.464486437272626,8.69037999011345,10.203162638412456,9.173147125510715,9.660234617009591,9.79743879842136,8.888279606623398,9.718624545909025,8.984490314328811,8.058511023130375,9.425438655733355,8.801660395406751,9.070725172476198,8.722977355048249,7.514169615996444,7.343708554714341,8.71715272844537,8.207415683703577,8.584348015191434,8.783721690663395,7.952546967958572,7.717098828306516,7.887556062227545,7.6288209152503565,7.653225021385534,8.028313046421466,0.5856297190451193
7,EST,0.0,0.0,0.5087760609122355,1.766916890654616,2.584590643234868,3.466436127782024,3.5603428666693984,4.244266845773775,3.8956654229394094,4.099999712280722,4.1661148831232975,4.624977037205131,4.828361184615942,4.990078207073655,5.680525485303292,6.421730545662564,7.439802199270869,4.520094280514366,6.910529582900179,5.530098949805734,4.731594660057455,3.0283877451242582,4.717637310462873,5.462834892643913,5.340250809215356,5.427977804588238,5.517597792960883,4.964383960940774,5.718707662841336,5.561844241230298,0.43780580802087454
8,FIN,12.874940012205123,11.560232481141822,12.257060304736699,13.370316515696306,12.381265141255495,8.633871008792452,10.549171609029669,10.961441369226833,11.65422010448049,11.371657276757176,11.208975526297335,10.952180490084055,11.191020724924327,11.11832809196369,11.86648029177311,12.603658034469824,11.928751062422194,11.991559394333601,12.590810515077072,11.890154304159063,12.08199648279658,12.170877787906772,11.991198327438399,12.079488550409893,11.315547782372354,12.154324886564197,12.523422275350422,11.568177997441639,12.031492922251282,14.647912219741865,0.5880652151812387
9,FRA,5.380336096485363,5.6938831331767705,5.723709876830297,5.590279701105972,5.168927742465836,5.353718689004316,5.5344576299297685,5.489749998766048,5.333861414298955,5.531496707182715,5.3202993549851065,5.1359526659339,5.363639590208617,5.198454084739428,4.715520075433014,4.545454905129336,4.977033711482386,5.274458579591491,4.8015138188909745,5.263720803421632,5.271059036460926,5.474309044088955,5.290711983020987,5.188001888843583,5.387254781245169,5.040852150150496,4.83333579121572,4.976238089531041,5.34795763588467,5.513147659625636,0.5037724164624588
10,DEU,5.498216617170673,9.281137866352614,7.121895975220863,8.372726116373649,6.051694467083247,8.250196861333041,7.759766970647843,7.0726107104023,7.295313386399132,7.123974042317999,6.400563775086087,6.600370309991175,6.1812256363751095,6.905503000357088,7.594866757170041,6.3041547690245725,6.66525436984412,6.291999846547262,6.967474414261135,6.517765122293808,6.817570676717749,7.070695985074204,6.587436475471317,6.977193611480749,6.432500848948847,6.185346580236999,6.253652988611146,6.210000212686156,6.123336488159535,6.260458015686094,0.4618358683092493
