,PARID,PROPERTYZIP,SALEDATE,SALEPRICE,STORIES,YEARBLT,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,FINISHEDLIVINGAREA,LOGPRICE
126623,0307P00038000000,15132,4/9/86,1000.0,2.0,1880.0,8.0,4.0,2.0,0.0,2704.0,3.0
402567,0635S00074000000,15235,9/9/77,42000.0,2.0,1970.0,7.0,3.0,2.0,1.0,3758.0,4.623249290397901
190409,0182P00048000000,15120,12/15/17,20000.0,1.0,1950.0,5.0,2.0,1.0,0.0,750.0,4.301029995663981
28865,0083H00322000000,15206,5/29/01,85000.0,2.0,1926.0,13.0,6.0,2.0,0.0,3474.0,4.929418925714293
386056,0821P00017000000,15143,2/1/13,112000.0,2.0,2013.0,10.0,4.0,2.0,1.0,3706.0,5.049218022670182
257098,0665S00014000000,15102,5/4/06,364445.0,2.0,2006.0,9.0,4.0,3.0,2.0,2628.0,5.5616319963061205
380043,0170N00176000000,15215,11/8/85,66000.0,2.0,1920.0,6.0,3.0,2.0,1.0,1938.0,4.819543935541868
123911,0305R00080000000,15110,5/23/08,24100.0,1.0,1956.0,6.0,2.0,1.0,0.0,780.0,4.382017042574868
5811,0028P00024000000,15213,9/28/12,113000.0,2.0,1910.0,6.0,3.0,1.0,1.0,1785.0,5.05307844348342
48545,0176E00073000000,15221,4/4/03,125000.0,2.0,1910.0,10.0,5.0,2.0,1.0,2590.0,5.096910013008056
96655,0078L00201000000,15212,5/7/18,28000.0,1.5,1910.0,5.0,2.0,1.0,0.0,1241.0,4.447158031342219
103658,0019J00068000000,15205,11/12/98,30566.0,2.0,1943.0,7.0,4.0,2.0,0.0,1440.0,4.485238608775484
318795,0718P00111000000,15101,4/16/99,155500.0,1.5,1987.0,7.0,3.0,2.0,1.0,1904.0,5.191730393362857
231985,0185P00142000000,15122,11/19/91,55000.0,1.0,1954.0,6.0,3.0,1.0,0.0,1200.0,4.740362689494244
282591,0734P00321000000,15068,9/2/83,13500.0,2.0,1983.0,7.0,3.0,1.0,1.0,1472.0,4.1303337684950066
178621,0067D00115000000,15205,4/26/00,85000.0,2.0,1910.0,8.0,4.0,2.0,0.0,2340.0,4.929418925714293
138375,0160M00130000000,15202,2/2/94,96000.0,2.0,1910.0,8.0,3.0,2.0,1.0,2676.0,4.982271233039568
347677,0701J00245000000,15108,7/23/10,345000.0,2.0,1989.0,8.0,4.0,3.0,1.0,2550.0,5.537819095073274
67015,0004L00047000000,15211,2/4/85,38000.0,2.0,1915.0,6.0,3.0,1.0,0.0,1240.0,4.57978359661681
210114,0235J00086000000,15218,4/22/17,65000.0,2.0,1930.0,5.0,2.0,1.0,0.0,1218.0,4.812913356642856
367150,1071H00085000000,15090,5/11/98,158000.0,2.0,1986.0,7.0,3.0,2.0,1.0,2112.0,5.198657086954422
362404,0716J00163000000,15237,11/13/15,110000.0,1.0,1948.0,5.0,2.0,1.0,0.0,896.0,5.041392685158225
307560,0998R00189000000,15037,1/31/79,63500.0,1.0,1977.0,5.0,3.0,2.0,1.0,1810.0,4.802773725291976
274176,0640C00310000000,15146,7/27/93,10000.0,1.0,1940.0,6.0,3.0,1.0,0.0,1317.0,4.0
407456,0079J00075000000,15212,9/30/94,80000.0,2.0,1930.0,6.0,3.0,1.0,1.0,1850.0,4.903089986991944
403262,1503B00001000000,15044,7/28/04,338000.0,2.0,1992.0,9.0,4.0,2.0,1.0,3109.0,5.528916700277655
364593,0826J00059000000,15237,3/27/06,138000.0,1.0,1952.0,7.0,3.0,1.0,0.0,1418.0,5.139879086401237
27957,0083C00007000000,15206,1/23/07,45000.0,2.0,1920.0,8.0,5.0,1.0,0.0,2405.0,4.653212513775344
178242,0067S00087000000,15106,2/12/13,100000.0,2.0,1904.0,6.0,3.0,1.0,0.0,1764.0,5.0
18670,0049B00012000000,15201,6/7/16,66000.0,2.0,1900.0,5.0,1.0,1.0,0.0,1460.0,4.819543935541868
389535,0364P00058000000,15147,9/4/01,50000.0,1.0,1959.0,5.0,2.0,1.0,0.0,912.0,4.698970004336019
168665,1133M00371000000,15037,5/31/89,34800.0,2.0,1905.0,6.0,3.0,1.0,0.0,1700.0,4.541579243946581
347009,0699C00054000000,15108,1/9/14,60200.0,1.0,1956.0,5.0,3.0,1.0,0.0,1334.0,4.779596491257824
385202,0513H00065000000,15237,11/7/14,440260.0,2.0,2014.0,8.0,4.0,3.0,1.0,2782.0,5.643709229251458
291109,1241E00209000000,15239,8/30/10,129900.0,1.0,1967.0,7.0,3.0,1.0,1.0,1564.0,5.113609151073028
158197,0342J00036000000,15108,5/3/00,43000.0,2.0,1920.0,6.0,2.0,2.0,0.0,2023.0,4.633468455579586
231822,0185L00214000000,15122,11/7/02,56000.0,1.0,1950.0,6.0,3.0,1.0,1.0,988.0,4.748188027006201
294416,0939C00222000000,15143,7/8/13,405000.0,2.0,1987.0,7.0,3.0,2.0,1.0,2529.0,5.607455023214668
339245,1823K00174000000,15090,11/18/04,115000.0,1.0,1998.0,5.0,2.0,1.0,1.0,1136.0,5.060697840353612
203322,0421D00376000000,15143,8/31/05,19900.0,2.0,1920.0,6.0,3.0,1.0,0.0,1188.0,4.298853076409706
184103,0079C00011000000,15209,9/23/99,20000.0,2.0,1900.0,4.0,2.0,1.0,0.0,728.0,4.301029995663981
115598,0095N00008000000,15234,4/18/78,29900.0,2.0,1927.0,6.0,3.0,1.0,0.0,1300.0,4.47567118832443
296503,1203B00012000000,15143,10/5/11,309900.0,1.5,2011.0,5.0,2.0,2.0,1.0,2652.0,5.491221576239283
373930,0913P00024000000,15057,2/22/12,194500.0,1.0,2003.0,6.0,3.0,2.0,1.0,1640.0,5.288919605661727
321633,1076N00125253500,15101,9/1/05,244900.0,1.0,2005.0,7.0,3.0,2.0,1.0,1786.0,5.388988785124714
351782,0140N00055000000,15228,5/7/96,127500.0,2.0,1946.0,12.0,6.0,2.0,0.0,2136.0,5.105510184769974
358740,0252H00124000000,15228,4/17/09,264000.0,2.0,1931.0,7.0,3.0,2.0,1.0,2381.0,5.421603926869831
134459,0122D00042000000,15215,7/3/03,169900.0,2.0,1935.0,6.0,3.0,1.0,0.0,1498.0,5.230193378869045
136260,0214S00224000000,15202,2/10/06,150000.0,2.0,1900.0,12.0,4.0,4.0,0.0,2637.0,5.176091259055681
43134,0086R00210000000,15217,8/1/95,94750.0,2.0,1930.0,7.0,4.0,2.0,0.0,1276.0,4.97657921864011
401236,0634C00163000000,15235,6/18/09,124900.0,1.0,1969.0,7.0,3.0,2.0,0.0,1622.0,5.096562438374136
203951,0508N00279000000,15143,11/15/02,160000.0,2.0,1900.0,8.0,4.0,2.0,0.0,2418.0,5.204119982655925
258488,0667M00126000000,15102,6/22/09,195000.0,2.0,1962.0,9.0,5.0,2.0,1.0,2072.0,5.290034611362518
356390,0193A00177000000,15243,9/20/13,225000.0,2.0,1950.0,8.0,3.0,2.0,0.0,1534.0,5.352182518111363
67920,0004R00136000000,15211,10/21/13,29500.0,2.0,1910.0,4.0,2.0,1.0,0.0,1272.0,4.469822015978163
379882,0750N00095000000,15137,5/19/11,39000.0,1.0,1953.0,6.0,3.0,1.0,0.0,1260.0,4.5910646070264995
