PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
USA,f,1941,68,0.03763,0.03693,0.5,60918,2250,59793,730953,12.00
USA,f,1941,69,0.03951,0.03875,0.5,58668,2273,57531,671160,11.44
USA,f,1941,70,0.04231,0.04144,0.5,56395,2337,55226,613628,10.88
USA,f,1941,71,0.04424,0.04328,0.5,54058,2340,52888,558402,10.33
USA,f,1941,72,0.05206,0.05074,0.5,51718,2624,50406,505514,9.77
USA,f,1941,73,0.05985,0.05811,0.5,49094,2853,47668,455108,9.27
USA,f,1941,74,0.06176,0.05991,0.5,46241,2770,44856,407440,8.81
USA,f,1941,75,0.06772,0.06550,0.5,43471,2847,42047,362584,8.34
USA,f,1941,76,0.06957,0.06723,0.5,40624,2731,39258,320537,7.89
USA,f,1941,77,0.07835,0.07540,0.5,37892,2857,36464,281279,7.42
USA,f,1941,78,0.09872,0.09408,0.5,35035,3296,33387,244815,6.99
USA,f,1941,79,0.10338,0.09830,0.5,31739,3120,30179,211428,6.66
USA,f,1941,80,0.10263,0.09762,0.5,28619,2794,27222,181248,6.33
USA,f,1941,81,0.11331,0.10723,0.5,25826,2769,24441,154026,5.96
USA,f,1941,82,0.12493,0.11758,0.5,23056,2711,21701,129585,5.62
USA,f,1941,83,0.13718,0.12837,0.5,20345,2612,19039,107885,5.30
USA,f,1941,84,0.14950,0.13910,0.5,17733,2467,16500,88845,5.01
USA,f,1941,85,0.16130,0.14926,0.5,15267,2279,14127,72345,4.74
USA,f,1941,86,0.17429,0.16032,0.5,12988,2082,11947,58218,4.48
USA,f,1941,87,0.18893,0.17263,0.5,10906,1883,9964,46271,4.24
USA,f,1941,88,0.20461,0.18562,0.5,9023,1675,8186,36307,4.02
USA,f,1941,89,0.22018,0.19835,0.5,7348,1457,6619,28121,3.83
USA,f,1941,90,0.23476,0.21010,0.5,5891,1238,5272,21502,3.65
USA,f,1941,91,0.24734,0.22012,0.5,4653,1024,4141,16230,3.49
USA,f,1941,92,0.25795,0.22848,0.5,3629,829,3214,12089,3.33
USA,f,1941,93,0.26747,0.23592,0.5,2800,661,2469,8875,3.17
