,date,price
0,1973-08,0.65484
1,1973-09,0.6527
2,1973-10,0.659552381
3,1973-11,0.64681
4,1973-12,0.670936842
5,1974-01,0.716990909
6,1974-02,0.75655
7,1974-03,0.73217619
8,1974-04,0.714795238
9,1974-05,0.730981818
10,1974-06,0.725355
11,1974-07,0.705859091
12,1974-08,0.633590909
13,1974-09,0.544295
14,1974-10,0.575363636
15,1974-11,0.602961111
16,1974-12,0.594642105
17,1975-01,0.560886364
18,1975-02,0.534572222
19,1975-03,0.51371
20,1975-04,0.480640909
21,1975-05,0.520342857
22,1975-06,0.561428571
23,1975-07,0.631440909
24,1975-08,0.84662381
25,1975-09,0.814557143
26,1975-10,0.809604545
27,1975-11,0.7747875
28,1975-12,0.839728571
29,1976-01,0.93162
30,1976-02,0.993883333
31,1976-03,1.001556522
32,1976-04,1.224490476
33,1976-05,1.356565
34,1976-06,1.489581818
35,1976-07,1.363261905
36,1976-08,1.539272727
37,1976-09,1.570861905
38,1976-10,1.7361
39,1976-11,1.825236842
40,1976-12,2.063242857
41,1977-01,2.189590476
42,1977-02,2.425652632
43,1977-03,3.002943478
44,1977-04,3.175705
45,1977-05,2.867504762
46,1977-06,2.626636364
47,1977-07,2.233405263
48,1977-08,2.011530435
49,1977-09,1.776133333
50,1977-10,1.612575
51,1977-11,1.969810526
52,1977-12,1.833690476
53,1978-01,1.95384
54,1978-02,1.883276471
55,1978-03,1.5861
56,1978-04,1.716665
57,1978-05,1.607540909
58,1978-06,1.661731818
59,1978-07,1.26388
60,1978-08,1.392330435
61,1978-09,1.492415
62,1978-10,1.528180952
63,1978-11,1.456715
64,1978-12,1.28106
65,1979-01,1.300740909
66,1979-02,1.261168421
67,1979-03,1.338636364
68,1979-04,1.425245
69,1979-05,1.5495
70,1979-06,1.954990476
71,1979-07,2.0767
72,1979-08,2.052482609
73,1979-09,2.117157895
74,1979-10,2.13733913
75,1979-11,2.150419048
76,1979-12,1.925078947
77,1980-01,1.722636364
78,1980-02,1.696673684
79,1980-03,1.893095238
80,1980-04,1.837385714
81,1980-05,1.977071429
82,1980-06,1.849909524
83,1980-07,1.622068182
84,1980-08,1.398719048
85,1980-09,1.329642857
86,1980-10,1.285891304
87,1980-11,1.139122222
88,1980-12,1.223809524
89,1981-01,1.27795
90,1981-02,1.209110526
91,1981-03,1.239159091
92,1981-04,1.259738095
93,1981-05,1.2131
94,1981-06,0.971668182
95,1981-07,1.081659091
96,1981-08,1.137909524
97,1981-09,1.164571429
98,1981-10,1.349931818
99,1981-11,1.440225
100,1981-12,1.363357143
101,1982-01,1.402775
102,1982-02,1.526042105
103,1982-03,1.373847826
104,1982-04,1.351609524
105,1982-05,1.2676
106,1982-06,1.373527273
107,1982-07,1.243857143
108,1982-08,1.305004545
109,1982-09,1.342690476
110,1982-10,1.409738095
111,1982-11,1.37748
112,1982-12,1.318690476
113,1983-01,1.279428571
114,1983-02,1.248789474
115,1983-03,1.230891304
116,1983-04,1.23408
117,1983-05,1.284428571
118,1983-06,1.260645455
119,1983-07,1.27695
120,1983-08,1.287786957
121,1983-09,1.32147619
122,1983-10,1.421428571
123,1983-11,1.470090476
124,1983-12,1.4525
125,1984-01,1.42
126,1984-02,1.443905
127,1984-03,1.462727273
128,1984-04,1.503935
129,1984-05,1.493204545
130,1984-06,1.463595238
131,1984-07,1.414119048
132,1984-08,1.458347826
133,1984-09,1.397657895
134,1984-10,1.355978261
135,1984-11,1.404933333
136,1984-12,1.398315789
137,1985-01,1.461136364
138,1985-02,1.452321053
139,1985-03,1.435857143
140,1985-04,1.433028571
141,1985-05,1.449477273
142,1985-06,1.443225
143,1985-07,1.367952381
144,1985-08,1.351940909
145,1985-09,1.371289474
146,1985-10,1.451363636
147,1985-11,1.59142
148,1985-12,2.04705
149,1986-01,2.410840909
150,1986-02,2.327152632
151,1986-03,2.457175
152,1986-04,2.3054
153,1986-05,2.160261905
154,1986-06,1.804357143
155,1986-07,1.781785714
156,1986-08,1.780566667
157,1986-09,2.057857143
158,1986-10,1.831043478
159,1986-11,1.608905556
160,1986-12,1.403452381
161,1987-01,1.271
162,1987-02,1.233863158
163,1987-03,1.061
164,1987-04,1.107847619
165,1987-05,1.21455
166,1987-06,1.083604545
167,1987-07,1.036454545
168,1987-08,1.062480952
169,1987-09,1.154857143
170,1987-10,1.228272727
171,1987-11,1.268184211
172,1987-12,1.283818182
173,1988-01,1.287825
174,1988-02,1.37318
175,1988-03,1.348108696
176,1988-04,1.34112
177,1988-05,1.33602381
178,1988-06,1.355318182
179,1988-07,1.339675
180,1988-08,1.197665217
181,1988-09,1.274190476
182,1988-10,1.24597619
183,1988-11,1.259065
184,1988-12,1.385928571
185,1989-01,1.441714286
186,1989-02,1.318831579
187,1989-03,1.302022727
188,1989-04,1.355115
189,1989-05,1.307704545
190,1989-06,1.196490909
191,1989-07,0.877625
192,1989-08,0.807391304
193,1989-09,0.825625
194,1989-10,0.725590909
195,1989-11,0.750075
196,1989-12,0.78145
197,1990-01,0.806522727
198,1990-02,0.860531579
199,1990-03,0.946409091
200,1990-04,0.94817
201,1990-05,0.943227273
202,1990-06,0.894190476
203,1990-07,0.882309524
204,1990-08,0.954356522
205,1990-09,0.9705
206,1990-10,0.924065217
207,1990-11,0.850925
208,1990-12,0.914
209,1991-01,0.870545455
210,1991-02,0.885221053
211,1991-03,0.936025
212,1991-04,0.911054545
213,1991-05,0.881795455
214,1991-06,0.855045
215,1991-07,0.836809524
216,1991-08,0.818109091
217,1991-09,0.898825
218,1991-10,0.815565217
219,1991-11,0.791073684
220,1991-12,0.796
221,1992-01,0.773772727
222,1992-02,0.688005263
223,1992-03,0.718090909
224,1992-04,0.665457143
225,1992-05,0.6286
226,1992-06,0.598468182
227,1992-07,0.599818182
228,1992-08,0.527152381
229,1992-09,0.542785714
230,1992-10,0.629727273
231,1992-11,0.679694737
232,1992-12,0.782022727
233,1993-01,0.6654
234,1993-02,0.632742105
235,1993-03,0.617130435
236,1993-04,0.55957619
237,1993-05,0.614275
238,1993-06,0.60245
239,1993-07,0.71302381
240,1993-08,0.748259091
241,1993-09,0.795785714
242,1993-10,0.749809524
243,1993-11,0.7615
244,1993-12,0.771952381
245,1994-01,0.733642857
246,1994-02,0.758868421
247,1994-03,0.805978261
248,1994-04,0.834142105
249,1994-05,1.15997619
250,1994-06,1.377168182
251,1994-07,2.168125
252,1994-08,1.943791304
253,1994-09,2.195666667
254,1994-10,1.96347619
255,1994-11,1.74023
256,1994-12,1.641357143
257,1995-01,1.677095238
258,1995-02,1.646063158
259,1995-03,1.747869565
260,1995-04,1.687952632
261,1995-05,1.662909091
262,1995-06,1.483568182
263,1995-07,1.402289474
264,1995-08,1.47343913
265,1995-09,1.286
266,1995-10,1.219909091
267,1995-11,1.20627
268,1995-12,1.010157895
269,1996-01,1.061825
270,1996-02,1.21216
271,1996-03,1.168
272,1996-04,1.195119048
273,1996-05,1.238636364
274,1996-06,1.18661
275,1996-07,1.096857143
276,1996-08,1.198118182
277,1996-09,1.0718
278,1996-10,1.136086957
279,1996-11,1.191189474
280,1996-12,1.098
281,1997-01,1.275454545
282,1997-02,1.6681
283,1997-03,1.840925
284,1997-04,2.001704545
285,1997-05,2.454357143
286,1997-06,2.111028571
287,1997-07,1.716386364
288,1997-08,1.85757619
289,1997-09,1.758833333
290,1997-10,1.578304348
291,1997-11,1.565544444
292,1997-12,1.689
293,1998-01,1.700631579
294,1998-02,1.726226316
295,1998-03,1.481545455
296,1998-04,1.43702381
297,1998-05,1.2991
298,1998-06,1.185145455
299,1998-07,1.1205
300,1998-08,1.216866667
301,1998-09,1.068404762
302,1998-10,1.061568182
303,1998-11,1.156178947
304,1998-12,1.152681818
305,1999-01,1.124736842
306,1999-02,1.042442105
307,1999-03,1.051173913
308,1999-04,1.009052381
309,1999-05,1.12035
310,1999-06,1.076268182
311,1999-07,0.953238095
312,1999-08,0.915709091
313,1999-09,0.863309524
314,1999-10,0.946309524
315,1999-11,1.142115
316,1999-12,1.275119048
317,2000-01,1.15185
318,2000-02,1.06536
319,2000-03,1.049304348
320,2000-04,0.968236842
321,2000-05,0.987113636
322,2000-06,0.894477273
323,2000-07,0.929921053
324,2000-08,0.799708696
325,2000-09,0.81065
326,2000-10,0.804795455
327,2000-11,0.718065
328,2000-12,0.677775
329,2001-01,0.660119048
330,2001-02,0.630573684
331,2001-03,0.629818182
332,2001-04,0.587915
333,2001-05,0.648159091
334,2001-06,0.577109524
335,2001-07,0.541857143
336,2001-08,0.507804348
337,2001-09,0.5018
338,2001-10,0.447456522
339,2001-11,0.460275
340,2001-12,0.468411765
341,2002-01,0.478071429
342,2002-02,0.453042105
343,2002-03,0.530375
344,2002-04,0.544427273
345,2002-05,0.507568182
346,2002-06,0.48363
347,2002-07,0.496833333
348,2002-08,0.4828
349,2002-09,0.580825
350,2002-10,0.621869565
351,2002-11,0.663363158
352,2002-12,0.640925
353,2003-01,0.648714286
354,2003-02,0.628133333
355,2003-03,0.594333333
356,2003-04,0.620938095
357,2003-05,0.657738095
358,2003-06,0.59057619
359,2003-07,0.619931818
360,2003-08,0.617214286
361,2003-09,0.656738095
362,2003-10,0.622826087
363,2003-11,0.592194444
364,2003-12,0.642214286
365,2004-01,0.724894737
366,2004-02,0.731415789
367,2004-03,0.750826087
368,2004-04,0.704280952
369,2004-05,0.736875
370,2004-06,0.780614286
371,2004-07,0.706666667
372,2004-08,0.680959091
373,2004-09,0.781380952
374,2004-10,0.758595238
375,2004-11,0.84559
376,2004-12,1.007166667
377,2005-01,1.01525
378,2005-02,1.140847368
379,2005-03,1.291295455
380,2005-04,1.210861905
381,2005-05,1.211166667
382,2005-06,1.126277273
383,2005-07,1.031075
384,2005-08,0.999330435
385,2005-09,0.935714286
386,2005-10,0.997238095
387,2005-11,1.00649
388,2005-12,0.999714286
389,2006-01,1.193275
390,2006-02,1.121068421
391,2006-03,1.076543478
392,2006-04,1.084315789
393,2006-05,1.040318182
394,2006-06,0.966804545
395,2006-07,0.9862
396,2006-08,1.0512
397,2006-09,1.05495
398,2006-10,1.045522727
399,2006-11,1.15965
400,2006-12,1.26495
401,2007-01,1.1925
402,2007-02,1.162468421
403,2007-03,1.11975
404,2007-04,1.084665
405,2007-05,1.087727273
406,2007-06,1.141847619
407,2007-07,1.122333333
408,2007-08,1.161982609
409,2007-09,1.248210526
410,2007-10,1.2945
411,2007-11,1.230895
412,2007-12,1.329236842
413,2008-01,1.346095238
414,2008-02,1.52386
415,2008-03,1.44535
416,2008-04,1.331540909
417,2008-05,1.347619048
418,2008-06,1.395233333
419,2008-07,1.411363636
420,2008-08,1.388514286
421,2008-09,1.374904762
422,2008-10,1.147826087
423,2008-11,1.122684211
424,2008-12,1.098727273
425,2009-01,1.1657
426,2009-02,1.140831579
427,2009-03,1.116909091
428,2009-04,1.159361905
429,2009-05,1.29715
430,2009-06,1.260063636
431,2009-07,1.198136364
432,2009-08,1.281619048
433,2009-09,1.289857143
434,2009-10,1.370204545
435,2009-11,1.37236
436,2009-12,1.426681818
437,2010-01,1.401578947
438,2010-02,1.318642105
439,2010-03,1.336173913
440,2010-04,1.332128571
441,2010-05,1.345025
442,2010-06,1.507186364
443,2010-07,1.648047619
444,2010-08,1.73395
445,2010-09,1.870595238
446,2010-10,1.886642857
447,2010-11,2.046990476
448,2010-12,2.208681818
449,2011-01,2.359552632
450,2011-02,2.589278947
451,2011-03,2.722195652
452,2011-04,2.817885
453,2011-05,2.749833333
454,2011-06,2.580136364
455,2011-07,2.5252
456,2011-08,2.563708696
457,2011-09,2.590714286
458,2011-10,2.327952381
459,2011-11,2.30937619
460,2011-12,2.248761905
461,2012-01,2.23245
462,2012-02,2.088835
463,2012-03,1.864386364
464,2012-04,1.7883
465,2012-05,1.742545455
466,2012-06,1.568366667
467,2012-07,1.806071429
468,2012-08,1.657626087
469,2012-09,1.720236842
470,2012-10,1.647391304
471,2012-11,1.485142857
472,2012-12,1.470475
473,2013-01,1.500285714
474,2013-02,1.415057895
475,2013-03,1.390225
476,2013-04,1.371986364
477,2013-05,1.365272727
478,2013-06,1.234615
479,2013-07,1.229954545
480,2013-08,1.179895455
481,2013-09,1.1698
482,2013-10,1.127913043
483,2013-11,1.05658
484,2013-12,1.121785714
485,2014-01,1.176238095
486,2014-02,1.542363158
487,2014-03,1.889857143
488,2014-04,1.97282381
489,2014-05,1.885545455
490,2014-06,1.718014286
491,2014-07,1.725931818
492,2014-08,1.880828571
493,2014-09,1.887809524
494,2014-10,2.050543478
495,2014-11,1.882621053
496,2014-12,1.755977273
497,2015-01,1.692425
498,2015-02,1.552968421
499,2015-03,1.369522727
500,2015-04,1.384861905
501,2015-05,1.32615
502,2015-06,1.319504545
503,2015-07,1.256227273
504,2015-08,1.274861905
505,2015-09,1.189547619
506,2015-10,1.25125
507,2015-11,1.18404
508,2015-12,1.21925
509,2016-01,1.170105263
510,2016-02,1.166565
511,2016-03,1.257363636
512,2016-04,1.23027619
513,2016-05,1.249738095
514,2016-06,1.358813636
515,2016-07,1.4546
516,2016-08,1.411904348
517,2016-09,1.522880952
518,2016-10,1.556047619
519,2016-11,1.607761905
520,2016-12,1.410190476
521,2017-01,1.486925
522,2017-02,1.455252632
523,2017-03,1.413869565
524,2017-04,1.358942105
525,2017-05,1.332045455
526,2017-06,1.242454545
527,2017-07,1.32525
528,2017-08,1.335408696
529,2017-09,1.32802381
530,2017-10,1.261204545
531,2017-11,1.259504762
532,2017-12,1.2319
533,2018-01,1.240904762
534,2018-02,1.209010526
535,2018-03,1.197571429
536,2018-04,1.172528571
537,2018-05,1.203136364
538,2018-06,1.161442857
539,2018-07,1.110571429
540,2018-08,1.031821739
541,2018-09,0.999289474
542,2018-10,1.1485
543,2018-11,1.121785714
544,2018-12,1.0304
545,2019-01,1.0335
546,2019-02,0.998205263
547,2019-03,0.964738095
548,2019-04,0.919947619
549,2019-05,0.926630435
550,2019-06,1.008205
551,2019-07,1.061282609
552,2019-08,0.94885
553,2019-09,0.99752381
554,2019-10,0.973673913
555,2019-11,1.099990476
556,2019-12,1.296119048
557,2020-01,1.135045455
558,2020-02,1.041715
559,2020-03,1.149772727
560,2020-04,1.137685714
561,2020-05,1.060619048
562,2020-06,0.9681
563,2020-07,1.039977273
564,2020-08,1.188795238
565,2020-09,1.214181818
566,2020-10,1.074022727
567,2020-11,1.12222381
568,2020-12,1.229022727
569,2021-01,1.245875
570,2021-02,1.271005
571,2021-03,1.300326087
572,2021-04,1.326185714
573,2021-05,1.50452381
574,2021-06,1.563345455
575,2021-07,1.687931818
576,2021-08,1.821504545
577,2021-09,1.902363636
578,2021-10,2.027690476
579,2021-11,2.224381818
580,2021-12,2.343869565
581,2022-01,2.36402381
582,2022-02,2.460945
583,2022-03,2.228586957
584,2022-04,2.255725
585,2022-05,2.185772727
586,2022-06,2.308713636
587,2022-07,2.178404762
588,2022-08,2.243478261
589,2022-09,2.244545455
590,2022-10,1.989047619
591,2022-11,1.646818182
592,2022-12,1.660454545
593,2023-01,1.589472727
594,2023-02,1.81267
595,2023-03,1.763569565
596,2023-04,1.879125
597,2023-05,1.84176087
598,2023-06,1.755845455
599,2023-07,1.593847619
600,2023-08,1.556726087
601,2023-09,1.526071429
602,2023-10,1.552536364
603,2023-11,1.344531579
604,2023-12,1.542652381
605,2024-01,1.847034783
606,2024-02,1.922809524
607,2024-03,1.900404762
608,2024-04,0.863690909
609,2024-05,2.116108696
610,2024-06,2.277275
611,2024-07,2.371608696
612,2024-08,2.436863636
613,2024-09,2.52665625
614,2024-10,
