,date,current_price,month,year,previous_price
112,1982-12,1.318690476190476,December,1982,1.3774799999999998
113,1983-01,1.2794285714285714,January,1983,1.318690476190476
114,1983-02,1.2487894736842104,February,1983,1.2794285714285714
115,1983-03,1.2308913043478262,March,1983,1.2487894736842104
116,1983-04,1.23408,April,1983,1.2308913043478262
117,1983-05,1.2844285714285717,May,1983,1.23408
118,1983-06,1.2606454545454546,June,1983,1.2844285714285717
119,1983-07,1.2769499999999998,July,1983,1.2606454545454546
120,1983-08,1.287786956521739,August,1983,1.2769499999999998
121,1983-09,1.3214761904761905,September,1983,1.287786956521739
122,1983-10,1.4214285714285717,October,1983,1.3214761904761905
123,1983-11,1.4700904761904765,November,1983,1.4214285714285717
124,1983-12,1.4525,December,1983,1.4700904761904765
125,1984-01,1.42,January,1984,1.4525
126,1984-02,1.443905,February,1984,1.42
127,1984-03,1.4627272727272729,March,1984,1.443905
128,1984-04,1.503935,April,1984,1.4627272727272729
129,1984-05,1.4932045454545453,May,1984,1.503935
130,1984-06,1.4635952380952382,June,1984,1.4932045454545453
131,1984-07,1.4141190476190475,July,1984,1.4635952380952382
132,1984-08,1.458347826086957,August,1984,1.4141190476190475
133,1984-09,1.397657894736842,September,1984,1.458347826086957
134,1984-10,1.3559782608695652,October,1984,1.397657894736842
135,1984-11,1.4049333333333334,November,1984,1.3559782608695652
136,1984-12,1.3983157894736842,December,1984,1.4049333333333334
137,1985-01,1.4611363636363637,January,1985,1.3983157894736842
138,1985-02,1.452321052631579,February,1985,1.4611363636363637
139,1985-03,1.4358571428571427,March,1985,1.452321052631579
140,1985-04,1.433028571428571,April,1985,1.4358571428571427
141,1985-05,1.449477272727273,May,1985,1.433028571428571
142,1985-06,1.443225,June,1985,1.449477272727273
143,1985-07,1.367952380952381,July,1985,1.443225
144,1985-08,1.3519409090909091,August,1985,1.367952380952381
145,1985-09,1.3712894736842105,September,1985,1.3519409090909091
146,1985-10,1.4513636363636364,October,1985,1.3712894736842105
147,1985-11,1.5914199999999998,November,1985,1.4513636363636364
148,1985-12,2.04705,December,1985,1.5914199999999998
149,1986-01,2.410840909090909,January,1986,2.04705
150,1986-02,2.3271526315789473,February,1986,2.410840909090909
151,1986-03,2.4571750000000003,March,1986,2.3271526315789473
152,1986-04,2.3054,April,1986,2.4571750000000003
153,1986-05,2.1602619047619047,May,1986,2.3054
154,1986-06,1.804357142857143,June,1986,2.1602619047619047
155,1986-07,1.781785714285714,July,1986,1.804357142857143
156,1986-08,1.7805666666666666,August,1986,1.781785714285714
157,1986-09,2.057857142857143,September,1986,1.7805666666666666
158,1986-10,1.8310434782608696,October,1986,2.057857142857143
159,1986-11,1.6089055555555556,November,1986,1.8310434782608696
